supplier_id;name;swsdfid;swsdfusdid;swsdpid;navid;swsdfid_ari;swsdpid_ari
196;M10000 MOBIL-KONSTANT OOO;0;0;10902967;0;(null);(null)
199;M11000 ьюпл OOO;0;0;10912570;0;(null);(null)
200;M11001 MERKURIY OOO;0;0;10902971;0;(null);(null)
201;M12300 MAUI JIM SUNGLASSES;0;0;12738343;0;(null);(null)
202;M12346 ярюпши люяреп мб ннн;10924116;10924116;10969454;I_SUP076;(null);(null)
203;M20001 лнаюик щмепдфх;0;0;11002275;0;(null);(null)
205;M21345 MD GOURMEX LTD;10907578;10907578;11641982;O_SUP556;(null);(null)
206;M23222 MORGAN & OATES;10923916;10923916;15981670;0;(null);(null)
208;M57700 MGI LUXURY GROUP S.A.;0;0;15954362;0;(null);(null)
209;M66666 MAJORICA DP;0;0;10902973;0;(null);(null)
211;M89765 MORELLATO;0;0;15971536;0;(null);(null)
212;M98765 MEXX - едхмюъ ебпною;0;0;14008127;0;(null);(null)
213;MA8888 лхмхсл юпр йнкк;45125188;45125188;16223577;0;(null);(null)
214;MJ33330 MARC JACOBS - едхмюъ ебпною;0;0;14008126;0;(null);(null)
216;MR32654 MARCEL ROBERT;0;0;16222219;0;(null);(null)
217;N00001 NOVAYA ZARYA;0;0;10902974;0;(null);(null)
218;N10001 NATURAL PRODUCTS ZAO;0;0;10902975;0;(null);(null)
219;N11111 NICLAS AG;0;0;10902976;0;(null);(null)
220;N11133 мюанпш оюптчлепхх х йнялерхйх;0;0;12310664;0;(null);(null)
221;N12345 мюякедхе;0;0;13053302;0;(null);(null)
222;N22222 NINA RICCI COUTURE DP RBN;0;0;10909574;0;(null);(null)
223;NAVI;0;0;15967978;0;(null);(null)
224;O00001 ARMAGON OOO;0;0;10902977;0;(null);(null)
225;O10000 ндхмжнбяйюъ йнмдхрепяйюъ тюапхйю OOO;0;0;11138584;0;(null);(null)
226;O11000 OST-ALCO;0;0;10902978;0;(null);(null)
227;O11111 OCEAN+;0;0;10902979;0;(null);(null)
228;OE5555 гюн нпхемрюк щйяопеяя;0;0;16222989;0;(null);(null)
230;OLD PARFUME;0;0;12266153;0;(null);(null)
231;OLD_PLU;0;0;15968014;0;(null);(null)
232;P&G____;0;0;16223607;0;(null);(null)
233;P000005 ннн опнбюмя;45124728;45124728;16223407;0;(null);(null)
234;P01997 LA PRAIRIE;10907524;10907524;16223685;O_SUP158;(null);(null)
235;P05321 PACO RABANNE PUIG;10907525;10907525;16157273;0;(null);(null)
236;P10000 PEPSICO HOLDINGS OOO;0;0;10902982;0;(null);(null)
237;P10000 PRADA PUIG;10907328;10907328;16157277;0;(null);(null)
238;P10001 PIVNOY DOM;0;0;10902983;0;(null);(null)
240;P12333 PORTOLANO;0;0;11713782;0;(null);(null)
241;P12345 POLICE TIME;0;0;10902984;0;(null);(null)
242;P17001 ORCHID ZAO;0;0;10902985;0;(null);(null)
248;PARFUME SALE;0;0;15317860;0;(null);(null)
249;PM12399 PARRIS MONTE CARLO (кюйьепх);0;0;16223663;0;(null);(null)
250;PM44450 PERRIS MONTE CARLO INTERLUX 2;45125275;45125275;16223623;0;(null);(null)
251;PR200002 опнцпеяя-окчя ннн;0;0;12428766;0;(null);(null)
252;PUIG;10971322;10971322;16157331;0;(null);(null)
253;PW55555 POLICE TIME WATCH;0;0;15059512;0;(null);(null)
254;R00002 псяюцпнрнпц лняйбю;0;0;10902987;0;(null);(null)
255;R10001 RARITET OOO;0;0;10902990;0;(null);(null)
256;R10010 RAYSTAR OOO;0;0;10902991;0;(null);(null)
258;R11111 LEKERY OOO;0;0;10902994;0;(null);(null)
259;R12345 RATTI COLLECTION;0;0;10910007;0;(null);(null)
261;R25255 пнрнп уюся;0;0;11696609;0;(null);(null)
263;R888888 псяр хмйнпонпщиред;45120595;45120595;11390230;I_SUP002;(null);(null)
264;S00001 SOI-2;0;0;10902996;0;(null);(null)
265;S00002 NIAGARA FUDS;0;0;10902997;0;(null);(null)
266;S00003 SLIMSITY OOO;0;0;10902998;0;(null);(null)
267;S00004 яонпркюим OOO;0;0;11164767;0;(null);(null)
268;S01607 SHISEIDO;0;0;16223584;0;(null);(null)
269;S02000 SHARK-2000;0;0;10903000;0;(null);(null)
271;S10000 SONYA RYKIEL;10907470;10907470;16223229;0;(null);(null)
272;S10100 STOLWERCK FAIN CHOCOLATE;0;0;10903004;0;(null);(null)
276;S10500 ннн яюйя хцпсьйх;45123641;45123641;16222994;I_SUP105;(null);(null)
277;S11111 SILHOUETTE INTERNATIONAL;0;0;10903006;(null);(null);(null)
278;S120000 ALMEIRA OOO;0;0;10903007;0;(null);(null)
280;S20001 MAGARACH 000;0;0;10903008;0;(null);(null)
282;S54321 SISLEY;0;0;15968003;0;(null);(null)
283;S60006 SELDICO FENDI;0;0;15116112;0;(null);(null)
285;S67891 SHAIKH ESTERK;45124013;45124013;16222987;0;(null);(null)
286;S88888 SKAGEN;0;0;13672185;0;(null);(null)
287;S97531 хо яюлндспнбяйхи;0;0;16223030;0;(null);(null)
289;SC15151 SCHLEICH;0;0;15357423;0;(null);(null)
290;SCORPIO DISTR GROUP;0;0;15205850;0;(null);(null)
291;SELDICO GROUP;0;0;13978108;0;(null);(null)
292;SG55510 SILLAGE INTERLUX 2;45125273;45125273;16223621;0;(null);(null)
293;SHUAR OOO;0;0;10902999;0;(null);(null)
295;SONYA RYKIEL;45120761;45120761;16223228;0;(null);(null)
296;SP88820 ярнкхвмше онярюбйх ннн;45124442;45124442;16223343;I_SUP396;(null);(null)
297;SUPPLIERS 01 (LIQUORS / MINIATURES);0;0;16054718;0;(null);(null)
298;SUPPLIERS 02 (TOBACCO);0;0;16150362;(null);(null);(null)
299;SUPPLIERS 03 (PERFUMERY & COSMETICS);0;0;16054609;(null);(null);(null)
300;SUPPLIERS 04 (ELECTRONICS);0;0;16054684;(null);(null);(null)
301;SUPPLIERS 05 (FASHION/ACCESSORIES);0;0;16054681;0;(null);(null)
302;SUPPLIERS 06 (CONFECTIONARY);0;0;16054682;(null);(null);(null)
303;SUPPLIERS 07 (JEWELLERY);0;0;16054713;(null);(null);(null)
304;SUPPLIERS 08 (GLASS / CHINA);0;0;16150363;(null);(null);(null)
305;SUPPLIERS 09 (SOUVENIRS / MUSIC);0;0;16054705;0;(null);(null)
306;SUPPLIERS 10 (DELICATESSEN);0;0;16150364;(null);(null);(null)
307;SUPPLIERS 11 (SUNGLASSES);0;0;16150365;(null);(null);(null)
308;SUPPLIERS 12 (WATCHES);0;0;16054717;(null);(null);(null)
309;SUPPLIERS 14 (TOYS / TRAVEL);0;0;16054683;0;(null);(null)
310;SUPPLIERS 17 (хпкюмдяйхи аюп);0;0;16150151;0;(null);(null)
311;SZ4444 якюбю гюижеб кюйьепх;0;0;16223504;0;(null);(null)
312;T00001 рспмн OOO;0;0;10903009;0;(null);(null)
313;T00003 TRIANON-SERVICE;0;0;10903011;0;(null);(null)
314;T00005 TOYDICO;0;0;10903012;0;(null);(null)
315;T00010 люфеярхй-хлощйя ннн;0;0;10903013;0;(null);(null)
316;T10039 TISSOT DP;0;0;10903016;0;(null);(null)
317;T10045 TRAVEL RETAIL INNOVATIONS;10907232;10907232;15876813;0;(null);(null)
318;T11000 рпщмд йнккщйьм ннн;0;0;10913973;0;(null);(null)
319;T11115 TIME DESIGN;0;0;15205852;0;(null);(null)
320;T33223 TEXIER DP EURO;0;0;10903018;0;(null);(null)
322;T55567 TIMELESS LUXERY PRODUCTS;26048125;26048125;16064637;0;(null);(null)
323;T7000025 рнпцяепбхя ууI бей OOO;0;0;11305401;0;(null);(null)
324;T77715 рлут цпсоо;0;0;15082379;0;(null);(null)
325;T98765 йпелкебяйхи рд;0;0;16222223;0;(null);(null)
328;U00002 чмхрния-л OOO;0;0;11116675;0;(null);(null)
329;U00388 ннн тхплю смхрпнм;45123208;45123208;16223410;I_SUP388;(null);(null)
330;U10000 URVEST OOO;0;0;10903020;0;(null);(null)
331;U20000 чбекхпрнпц OOO;0;0;11027029;0;(null);(null)
332;U99999 U-TOYS;0;0;12067708;0;(null);(null)
334;V0000004 бхмщйяхл ннн;0;0;12609408;0;(null);(null)
335;V00001 VAGR OOO;0;0;10903021;0;(null);(null)
337;V01000 VK OOO;0;0;10903024;0;(null);(null)
339;V50170 ннн бюкемяхъ щйяопеяя;0;0;16223643;I_SUP403;(null);(null)
341;VE2333 VERSUS;42578065;42578065;16143158;0;(null);(null)
342;VH10001 бу хлонпр йюлоюмх;0;0;11688590;0;(null);(null)
346;Y10010 CALVIN KLEIN;0;0;16223579;0;(null);(null)
347;Y12300 YSL BEAUTY;0;0;11728831;0;(null);(null)
348;Y12345 ъмрюпмюъ цпнгдэ ннн;0;0;11446617;0;(null);(null)
349;Z0000234 ямя гекемнцпюд;0;0;11421651;0;(null);(null)
350;ющпнлюп;0;0;10971588;0;(null);(null)
351;ахахйнл;0;0;16164141;0;(null);(null)
352;бхйрнпхъ;0;0;16222764;0;(null);(null)
354;гюн ющпнтепяр;36919163;36919163;15598539;I_SUP366;(null);(null)
355;кейнмр;0;0;16222277;0;(null);(null)
356;л16789 ннн лъцйхи лхп;0;0;14125565;0;(null);(null)
357;наяхдхюмр;45124631;45124631;16223551;0;(null);(null)
358;ннн кюйьепх бнпкд;45125408;45125408;16223661;0;(null);(null)
359;пхьщя;0;0;15233557;0;(null);(null)
360;я00395 ннн я-рпеид;45124258;45124258;16223236;0;(null);(null)
361;я12345 ннн тхплю ярюмаеб;0;0;15922984;I_SUP139;(null);(null)
