supplier_id;name;swsdfid;swsdpid;Vendor No_
467;E22222 ебпюгхъ;0;16223503;
951;E25555 щкхр ащцг (CK);0;16223530;
1063;E33961 HUGO BOSS P&G;10907254;0;
88;E33962 HUGO BOSS PARFUME;0;15644008;
395;E34567 ESCADA - едхмюъ ебпною;0;14030159;
1192;E52529 ELIT;29062819;14345858;
1129;E55545 RAMON MOLVIZAR EXILITY;40173724;15855616;
452;E55546 TORRE EXILITI;0;16165067;
1097;E55547 MASQUE EXILITY;44514880;16165068;
1134;E55548 ROSE & CO EXILITY;44514881;16165069;
1141;E55549 SEVIGNE EXILITY;44514882;16165070;
1180;E55550 X-RAY EXILITY;45120509;16222195;
1121;E55551 PECCATO EXILITY;45120567;16222203;
400;E55552 GIULIETTA CAPULETI EXILITY;0;16223569;
420;E55553 MIMMINA FLOWER EXILITY;0;16223570;
1040;E86421 EASTPAK;33678924;0;
624;E88898 ECTACO;10907198;0;
94;EN12355 ENNS;45120906;16222258;
95;EN44567 ELECTRONIC NOVELTIES;44153565;16171437;
96;ES12345 ELIE SAAB;0;16223564;
1042;ES12345 ELIE SAAB BPI;28431636;0;
1193;ES33315 щяйэч яхця;45123896;0;
100;F00009 M.FREY WILLE DP;0;14108649;
397;F15666 FERRAGAMO - едхмюъ Eбпною;0;14008193;
636;F33311 FREY WILLE;10907558;0;
637;F33312 M.FREY WILLE FASHION;11104974;0;
103;F3333300 FOLLI FOLLIE WATCHES;0;11307070;
1049;F35291 FENDI PARFUM;24207694;15968000;
398;F55555 FRUITBERRY - едхмюъ ебпною;0;15263234;
105;F55556 FOSSIL;0;15115888;O_SUP220
1048;F66321 FAZER BRANDS INTERNATIONAL;45120563;0;O_SUP002
106;F87654 FERAUD - едхмюъ ебпною;0;14425730;
640;F88999 FURLA;11012386;0;
1046;FB11123 F.BOCLET INTERLUX 2;45125270;0;
1230;FC00002 FERRARI CAVALLINO;45126060;16223877;
1050;FE1234 FENDI SILK SA;14416973;0;
641;FER123 FERRERO TRADING LUX;25873704;0;O_SUP438
1051;FO45678 FOSSIL;36154934;0;O_SUP220
1047;FP11111 F.PARTNERS OOO;34335099;0;I_SUP239
643;G10002 GIVENCHY COUTURE EURO;10907502;0;
645;G10016 GUESS - IBB B.V.;10907503;0;O_SUP191
113;G10036 GODIVA;0;15981116;
646;G10036 GODIVA S.A. BELGIUM;10907559;0;O_SUP439
647;G10037 GUYLIAN NV/SA;10907258;0;
651;G11111+ GALEREYA BLAGOLEPIYA;15106113;0;
117;G11333 GUESS - IBB;0;10902937;
401;G20304 GUCCI - едхмюъ ебпною;0;14008125;
1055;G37123 GREATWELL INVESTMENTS LTD;17129947;0;
1247;G37123 SIINERGIA (GREATWELL INVESTMENTS LTD);17129947;0;
1054;G54321 GOURJI (RUB);26082124;0;
1052;G55551 GANCIA;42565904;0;
1057;G59870 GUCCI;42828643;0;
658;G73611 W.GRANT & SONS;10907202;0;
1058;G93124 GUERLAIN PARFUMS;10907504;15981117;
660;G93125 GUERLAIN SKY;10907396;0;
661;G98765 GOURJI ITALY(EURO);35051453;0;
1190;GC0003 ннн хмбеяр цен пеяспя (GOLDEN-CANDIES);45124774;16223409;
662;GG12345 GOLDEN GRAIL LTD;10907203;0;
121;GI20000 GIVENCHY PARFUME DP;0;15834392;
477;GR00026 ннн йнлоюмхъ цпхмтхкдя;0;16034955;I_SUP026
1053;GS12345 GOLDEN SPIRIT SA;39810224;0;
668;H10023 HENNESSY COGNAC;10907204;0;
123;H10053 HERMES;0;16223502;
672;H10053 HERMES PARFUMS;10907206;0;
1059;H1234 HERMANN JOERSS;18537636;0;O_SUP510
482;H44525 ннн унпейю рпеидяепбхя;0;15904373;I_SUP300
678;H45812 HAMMER+SOHNE;10907564;0;
1060;H66500 HIBWAY LTD. T/A SAFFON SUPPLY SERVICES;45124563;16223555;O_SUP665
402;HD98765 HANSE DISTRIBUTION GMBH;0;15481552;
1194;HIBWAY LTD;45124194;16223268;
404;HK11111 HELLO KITTY пхьея;0;15357863;
1187;I00022 хлоепхюк ннн;39846327;15862053;I_SUP160
681;I10011 IBB;10907364;0;
685;I11112 ISA SPA;10907506;0;
406;I13567 ICEBERG - едхмюъ ебпною;0;14875506;
407;I33333 INTEL MSK;0;16223195;
405;I44444 ICE WATCH;0;15103684;
1045;I54333 F.BOCLET INTERLUX;44185425;16152907;
490;I54444 рй хмрек рпеид;0;12584095;
1064;I55588 IAN MACLEOD DISTILLERS LTD;32456993;0;
994;I65432 ALYSON OLDOINI. INTERLUX;45123572;16222786;
130;I75666 KORLOFF INTERLUX;44185424;16152906;
131;I98765 SILLAGE INTERLUX;42520715;15948027;
1214;I_SUP417 ннн лхп хцпсьей;45125754;0;
1014;IL98765 CARON хо хкэхмю;42548796;15962875;
