supplier_id;name;swsdfid;swsdpid
464;V37000 бюьепнм рнпцнбши юкэъмя ннн;0;16064642
465;V55545 бемяйхи щйяопеяя йюте;0;15953951
466;SP12345 бшанп OOO;0;11418709
467;E22222 ебпюгхъ;0;16223503
468;E10000 едхмюъ ебпною ункдхмц;0;10912753
469;C11110 йнйю-йнкю щивахях ебпюгхъ;0;10902911
470;A3400000 йнмярюмрхмнонкэяйюъ;0;12708724
471;LG00037 кюйьепх цпсоо;0;16223041
472;KM100000 ледеъ;0;15601787
473;M44499 лепхдхюм рпеидхмц;0;13539670
474;MIL1234 лхкюп;0;15946888
475;NL654321 мейяхр кнцхярхй OOO;0;16064071
476;V12345 ннн рой ╚бхкнм╩;0;16037549
477;GR00026 ннн йнлоюмхъ цпхмтхкдя;0;16034955
478;M71113 ннн люппсяяхъ;0;16223418
479;A44441 ннн юпнмю;0;16223683
480;U10022 ннн спемункэр;0;13070299
481;A55555 ннн йнлоюмхъ юккхцюрнп;0;16223425
482;H44525 ннн унпейю рпеидяепбхя;0;15904373
483;OP65433 норхлю окчя;0;16222683
484;O33456 норхлюрнпц OOO;0;16064069
485;U00001 ондюпнвмши рейярхкэ;0;10903019
486;R00368 пейя рпеидхмц нюн;0;16064643
487;C00002 я-2 тхплю OOO;0;11076376
488;C00005 ябй рд гюн;0;11041678
489;A75444 ярнкхвмши чбекхпмши гюбнд;0;16038988
490;I54444 рй хмрек рпеид;0;12584095
492;A.R.I.;36939811;0
495;A10016 ALFA-ALYANCE;10924088;0
500;A10067 ART ALIANCE;10907241;0
501;A10067+ ART ALIANCE PLUS;10907342;0
502;A10068+ ART ALIANCE RBN;10907343;0
504;A10076 ART-BOOKS LTD;10907242;0
505;A10076+ ART-BOOKS RBL;14278728;0
508;A10118 INFIFON B.V.;10907184;0
509;A10122 ARI-SHANNON EURO;10907436;0
511;A11100 ARCOROS;10907289;0
522;AEROFIRST;10924118;0
526;AL88888 MASTER SERVICE COMPANY;33547545;0
528;AS23456 THE ART OF SHAVING;31862246;0
529;B10001 BARAKA JEW - GENERLUX;10907346;0
534;B10062 BAUME & MERCIER SA;10907244;0
535;B10080 BLAVOD DRINKS LTD;10907547;0
536;B10081 BORIE-MANOUX WINES;10907388;0
538;B11115 BALMAIN WATCH;10907185;0
548;B68701 BACARDI GMBH;11381585;0
553;BV12399 BVLGARY;28479158;0
555;C02376 DAVID CAMPARI;10907350;0
556;C100006 CARAN D'ARCHE;10907352;0
559;C10033 CLARINS EXPORT DIVISION;10907489;0
562;C10037 CLARINS THIERRY MUGLER;10907187;0
567;C10070 COCA-COLA REFRESHMENT;10907490;0
569;C10260 CANON EURO;10907491;0
575;C60708 L CONNAUGHTON & SON;10907447;0
577;C87452 A.T.CROSS LTD;10907448;0
