"LOC_ID";"QTY";"RETAIL";"COSTB";"RETAIL_AMOUNT";"COST_AMOUNT_B";"COST_AMOUNT_ALT";"COST_AMOUNT_ALT1";"GOOD_ID";"DATE_ID";"SUPPLY_NAME";"SUPPLY_DATE";"SUPPLY_QTY";"SUPCOST_AMOUNT_B";"SUPCOST_AMOUNT_ALT"
15511191;1800.0;335.0;126.43;603000.0;227566.8;5643.0;7439.4;1676927;01.01.2013 0:00:00;"21440";26.12.2012 0:00:00;2160.0;0.0;0.0
11263292;24.0;150.0;62.11;3600.0;1490.62;37.08;48.17;1676928;01.01.2013 0:00:00;"21072";28.11.2012 0:00:00;24.0;0.0;0.0
15511191;24.0;120.0;62.11;2880.0;1490.64;36.96;48.72;1676928;01.01.2013 0:00:00;"21440";26.12.2012 0:00:00;24.0;0.0;0.0
11263292;3.0;150.0;62.11;450.0;186.33;4.62;6.05;1676928;01.01.2013 0:00:00;"20642";18.10.2012 0:00:00;24.0;0.0;0.0
15511191;24.0;160.0;75.0;3840.0;1800.02;44.78;58.18;1676929;01.01.2013 0:00:00;"21072";28.11.2012 0:00:00;24.0;0.0;0.0
11263292;35.0;160.0;75.0;5600.0;2625.0;64.61;83.69;1676929;01.01.2013 0:00:00;"20802";02.11.2012 0:00:00;96.0;0.0;0.0
15511191;72.0;160.0;75.0;11520.0;5472.0;135.65;178.85;1676929;01.01.2013 0:00:00;"21440";26.12.2012 0:00:00;72.0;0.0;0.0
11263293;24.0;100.0;75.0;2400.0;1800.0;44.3;57.38;1676929;01.01.2013 0:00:00;"20802";02.11.2012 0:00:00;96.0;0.0;0.0
11263292;37.0;195.0;0.0;7215.0;2338.88;58.13;77.0;1676952;01.01.2013 0:00:00;"21479";30.12.2012 0:00:00;50.0;0.0;0.0
11263292;20.0;200.0;44.05;4000.0;1111.74;27.56;36.48;1677027;01.01.2013 0:00:00;"21470";28.12.2012 0:00:00;20.0;0.0;0.0
11263292;5.0;200.0;44.05;1000.0;233.47;5.83;7.49;1677027;01.01.2013 0:00:00;"20567";12.10.2012 0:00:00;10.0;0.0;0.0
