Division_Code;PLU;Barcode;Blocked
01;783887;2000007838871;0
01;784518;2000007845183;0
01;784942;200000784942;0
01;784943;200000784943;0
01;784944;200000784944;0
01;784945;200000784945;0
01;784946;200000784946;0
01;784947;200000784947;0
01;784948;200000784948;0
01;784949;200000784949;0
01;785624;2000007856240;0
01;785625;2000007856257;0
01;785626;2000007856264;0
01;785627;2000007856271;0
01;787684;2000007876842;0
01;787687;2000007876873;0
01;787688;2000007876880;0
01;787689;2000007876897;0
01;788085;2000007880856;0
01;788086;2000007880863;0
01;788087;2000007880870;0
01;788088;2000007880887;0
01;788089;2000007880894;0
01;788090;2000007880900;0
01;788091;2000007880917;0
01;790975;2000007909755;0
01;790976;2000007909762;0
01;790977;2000007909779;0
01;794839;2000007948396;0
01;794840;2000007948402;0
01;794841;2000007948419;0
01;794842;2000007948426;0
01;794843;2000007948433;0
01;794844;2000007948440;0
01;795192;2000007951921;0
01;795777;2000007957770;0
01;870386;2100008703861;0
01;870387;2100008703878;0
01;870389;2100008703892;0
01;870390;2100008703908;0
01;870395;2100008703953;0
01;870396;2100008703960;0
01;870397;2100008703977;0
01;870398;2100008703984;0
01;870399;2100008703991;0
01;870401;2100008704011;0
01;870404;2100008704042;0
01;870405;2100008704059;0
01;870406;2100008704066;0
01;870409;2100008704097;0
01;870412;2100008704127;0
01;870413;2100008704134;0
01;870418;2100008704189;0
01;870419;2100008704196;0
01;870422;2100008704226;0
01;870425;2100008704257;0
01;870433;2100008704332;0
01;870435;2100008704356;0
01;870442;2100008704424;0
01;870492;2100008704929;0
01;870500;2100008705001;0
01;870523;2100008705230;0
01;870538;2100008705384;0
01;870539;2100008705391;0
01;870540;2100008705407;0
01;870541;2100008705414;0
01;870542;2100008705421;0
01;870543;2100008705438;0
01;870544;2100008705445;0
01;870547;2100008705476;0
01;870548;2100008705483;0
01;870550;2100008705506;0
01;870551;2100008705513;0
01;870552;2100008705520;0
01;870554;2100008705544;0
01;870579;2100008705797;0
01;870609;2100008706091;0
01;870610;2100008706107;0
01;870611;2100008706114;0
01;870612;2100008706121;0
01;870678;2100008706787;0
01;870682;2100008706824;0
01;870705;2100008707050;0
01;870706;2100008707067;0
01;870707;2100008707074;0
