PLU;Alco_Grp_Code;Start_Date
224116;230;1753-01-01 00:00:00
224170;230;1753-01-01 00:00:00
224170;229;2015-02-09 00:00:00
224898;200;1753-01-01 00:00:00
225269;230;1753-01-01 00:00:00
225392;280;1753-01-01 00:00:00
225713;280;1753-01-01 00:00:00
228408;280;1753-01-01 00:00:00
228409;280;1753-01-01 00:00:00
229387;200;1753-01-01 00:00:00
229388;200;1753-01-01 00:00:00
229389;200;1753-01-01 00:00:00
229390;200;1753-01-01 00:00:00
229391;200;1753-01-01 00:00:00
229392;200;1753-01-01 00:00:00
230679;280;1753-01-01 00:00:00
231082;211;1753-01-01 00:00:00
231083;211;1753-01-01 00:00:00
232502;230;1753-01-01 00:00:00
232512;230;1753-01-01 00:00:00
232665;230;2014-01-01 00:00:00
232666;230;1753-01-01 00:00:00
232667;230;1753-01-01 00:00:00
232681;280;1753-01-01 00:00:00
233308;280;1753-01-01 00:00:00
233312;280;2013-01-01 00:00:00
233316;200;1753-01-01 00:00:00
234889;211;1753-01-01 00:00:00
236603;200;1753-01-01 00:00:00
236604;200;1753-01-01 00:00:00
236605;200;1753-01-01 00:00:00
236606;200;1753-01-01 00:00:00
236817;212;2007-02-21 00:00:00
237529;450;1753-01-01 00:00:00
237818;450;1753-01-01 00:00:00
237822;450;1753-01-01 00:00:00
238983;280;1753-01-01 00:00:00
238984;280;1753-01-01 00:00:00
239568;230;1753-01-01 00:00:00
239569;230;1753-01-01 00:00:00
239570;230;1753-01-01 00:00:00
239814;280;1753-01-01 00:00:00
239816;280;1753-01-01 00:00:00
239817;212;2012-09-19 00:00:00
239818;280;1753-01-01 00:00:00
239819;280;1753-01-01 00:00:00
240464;280;1753-01-01 00:00:00
242310;280;1753-01-01 00:00:00
242311;200;1753-01-01 00:00:00
245251;280;2012-09-06 00:00:00
251135;200;1753-01-01 00:00:00
251136;200;1753-01-01 00:00:00
251137;200;1753-01-01 00:00:00
251138;200;1753-01-01 00:00:00
253574;200;1753-01-01 00:00:00
256215;280;1753-01-01 00:00:00
257327;402;2014-08-01 00:00:00
259018;280;1753-01-01 00:00:00
259019;280;1753-01-01 00:00:00
259020;280;1753-01-01 00:00:00
259021;280;1753-01-01 00:00:00
259022;280;1753-01-01 00:00:00
259023;280;1753-01-01 00:00:00
259024;280;1753-01-01 00:00:00
259025;280;1753-01-01 00:00:00
259509;280;1753-01-01 00:00:00
261063;200;1753-01-01 00:00:00
261065;200;1753-01-01 00:00:00
261583;280;1753-01-01 00:00:00
263426;211;1753-01-01 00:00:00
263450;280;1753-01-01 00:00:00
264819;230;1753-01-01 00:00:00
264820;230;1753-01-01 00:00:00
264821;230;1753-01-01 00:00:00
267945;280;1753-01-01 00:00:00
268308;212;1753-01-01 00:00:00
269669;280;1753-01-01 00:00:00
269671;280;1753-01-01 00:00:00
269673;280;1753-01-01 00:00:00
269675;280;1753-01-01 00:00:00
270357;450;1753-01-01 00:00:00
270358;450;1753-01-01 00:00:00
270359;450;1753-01-01 00:00:00
270361;280;1753-01-01 00:00:00
270537;200;1753-01-01 00:00:00
276839;230;1753-01-01 00:00:00
276839;229;2015-02-09 00:00:00
277022;280;1753-01-01 00:00:00
277023;280;1753-01-01 00:00:00
277132;280;1753-01-01 00:00:00
277316;230;1753-01-01 00:00:00
277317;230;1753-01-01 00:00:00
277318;230;1753-01-01 00:00:00
277319;230;1753-01-01 00:00:00
277320;230;1753-01-01 00:00:00
277321;230;1753-01-01 00:00:00
277322;230;1753-01-01 00:00:00
277323;230;1753-01-01 00:00:00
277329;280;1753-01-01 00:00:00
277403;280;1753-01-01 00:00:00
277404;280;1753-01-01 00:00:00
277405;280;1753-01-01 00:00:00
277407;280;1753-01-01 00:00:00
277409;280;1753-01-01 00:00:00
277410;280;1753-01-01 00:00:00
277411;280;1753-01-01 00:00:00
277412;280;1753-01-01 00:00:00
277548;440;2012-09-06 00:00:00
277692;280;2012-10-10 00:00:00
277693;212;2012-08-15 00:00:00
277842;280;1753-01-01 00:00:00
277846;280;1753-01-01 00:00:00
277847;280;1753-01-01 00:00:00
277848;280;1753-01-01 00:00:00
277849;280;1753-01-01 00:00:00
277853;280;1753-01-01 00:00:00
277854;200;1753-01-01 00:00:00
277859;280;1753-01-01 00:00:00
278019;229;2014-03-01 00:00:00
278115;280;1753-01-01 00:00:00
278250;280;1753-01-01 00:00:00
278430;242;1753-01-01 00:00:00
278431;400;1753-01-01 00:00:00
278432;230;1753-01-01 00:00:00
278433;230;1753-01-01 00:00:00
278434;242;1753-01-01 00:00:00
278464;230;1753-01-01 00:00:00
278735;280;1753-01-01 00:00:00
278736;280;1753-01-01 00:00:00
278737;280;1753-01-01 00:00:00
278738;280;1753-01-01 00:00:00
278739;280;1753-01-01 00:00:00
279013;280;1753-01-01 00:00:00
280038;230;1753-01-01 00:00:00
280786;230;1753-01-01 00:00:00
281134;280;1753-01-01 00:00:00
283786;280;1753-01-01 00:00:00
283787;280;1753-01-01 00:00:00
283788;280;1753-01-01 00:00:00
283849;280;1753-01-01 00:00:00
283850;280;1753-01-01 00:00:00
283851;280;1753-01-01 00:00:00
284204;280;1753-01-01 00:00:00
284823;200;1753-01-01 00:00:00
284824;212;1753-01-01 00:00:00
286072;280;2014-05-01 00:00:00
286076;230;2014-01-01 00:00:00
286353;280;1753-01-01 00:00:00
286407;200;1753-01-01 00:00:00
286408;200;1753-01-01 00:00:00
286409;200;1753-01-01 00:00:00
286410;200;1753-01-01 00:00:00
287282;200;1753-01-01 00:00:00
287283;200;1753-01-01 00:00:00
288564;400;1753-01-01 00:00:00
288565;400;1753-01-01 00:00:00
288566;400;1753-01-01 00:00:00
288567;400;1753-01-01 00:00:00
288568;400;1753-01-01 00:00:00
288569;400;1753-01-01 00:00:00
288570;400;1753-01-01 00:00:00
290241;211;1753-01-01 00:00:00
290288;280;1753-01-01 00:00:00
291046;252;2014-12-01 00:00:00
291892;460;1753-01-01 00:00:00
292012;280;1753-01-01 00:00:00
292084;400;1753-01-01 00:00:00
292086;400;1753-01-01 00:00:00
292088;402;2014-08-01 00:00:00
292089;400;1753-01-01 00:00:00
292093;400;1753-01-01 00:00:00
292094;400;1753-01-01 00:00:00
292099;400;1753-01-01 00:00:00
292100;400;1753-01-01 00:00:00
292103;400;1753-01-01 00:00:00
292105;400;1753-01-01 00:00:00
292106;400;1753-01-01 00:00:00
292107;400;1753-01-01 00:00:00
292108;400;1753-01-01 00:00:00
292109;400;1753-01-01 00:00:00
292110;400;1753-01-01 00:00:00
292112;400;1753-01-01 00:00:00
292114;400;1753-01-01 00:00:00
292115;400;1753-01-01 00:00:00
292116;400;1753-01-01 00:00:00
292117;400;1753-01-01 00:00:00
292118;400;1753-01-01 00:00:00
292119;400;1753-01-01 00:00:00
292134;280;1753-01-01 00:00:00
292135;280;1753-01-01 00:00:00
292136;280;1753-01-01 00:00:00
292592;280;1753-01-01 00:00:00
293453;280;1753-01-01 00:00:00
293623;400;1753-01-01 00:00:00
293624;400;1753-01-01 00:00:00
293625;400;1753-01-01 00:00:00
293626;400;1753-01-01 00:00:00
293627;400;1753-01-01 00:00:00
293628;280;1753-01-01 00:00:00
293639;280;1753-01-01 00:00:00
293652;280;1753-01-01 00:00:00
293899;280;1753-01-01 00:00:00
293909;252;2013-01-01 00:00:00
293910;280;1753-01-01 00:00:00
293911;280;1753-01-01 00:00:00
293912;280;1753-01-01 00:00:00
293914;242;1753-01-01 00:00:00
294197;230;1753-01-01 00:00:00
294627;280;2013-01-01 00:00:00
311748;280;1753-01-01 00:00:00
313635;212;2013-01-01 00:00:00
314102;280;1753-01-01 00:00:00
315266;440;1753-01-01 00:00:00
316500;440;1753-01-01 00:00:00
316501;440;1753-01-01 00:00:00
317317;200;1753-01-01 00:00:00
317319;440;1753-01-01 00:00:00
317320;440;1753-01-01 00:00:00
317321;440;1753-01-01 00:00:00
319117;211;1753-01-01 00:00:00
323096;402;2014-10-01 00:00:00
323763;280;2013-01-01 00:00:00
323775;280;1753-01-01 00:00:00
323882;280;1753-01-01 00:00:00
324118;280;1753-01-01 00:00:00
324172;212;2013-01-01 00:00:00
324293;200;1753-01-01 00:00:00
325084;280;1753-01-01 00:00:00
325261;200;1753-01-01 00:00:00
325355;230;1753-01-01 00:00:00
325368;230;1753-01-01 00:00:00
325682;280;1753-01-01 00:00:00
325683;280;1753-01-01 00:00:00
339015;211;1753-01-01 00:00:00
339016;211;1753-01-01 00:00:00
339018;211;1753-01-01 00:00:00
339019;280;1753-01-01 00:00:00
339020;280;1753-01-01 00:00:00
339025;280;1753-01-01 00:00:00
339027;280;1753-01-01 00:00:00
339028;280;1753-01-01 00:00:00
339029;280;1753-01-01 00:00:00
339030;280;1753-01-01 00:00:00
339111;450;2013-01-01 00:00:00
339118;450;2013-01-01 00:00:00
339119;450;2013-01-01 00:00:00
339120;450;2013-01-01 00:00:00
339289;270;1753-01-01 00:00:00
339840;212;1753-01-01 00:00:00
339841;212;1753-01-01 00:00:00
339842;212;1753-01-01 00:00:00
339843;212;1753-01-01 00:00:00
340133;211;2013-01-01 00:00:00
340313;440;1753-01-01 00:00:00
340315;440;1753-01-01 00:00:00
340320;200;1753-01-01 00:00:00
341050;200;1753-01-01 00:00:00
341051;200;1753-01-01 00:00:00
341052;200;1753-01-01 00:00:00
341053;200;1753-01-01 00:00:00
341091;229;2013-01-01 00:00:00
341640;280;1753-01-01 00:00:00
341737;440;1753-01-01 00:00:00
341866;460;1753-01-01 00:00:00
342753;280;1753-01-01 00:00:00
342805;200;1753-01-01 00:00:00
346156;200;1753-01-01 00:00:00
346218;211;1753-01-01 00:00:00
346565;400;2012-08-15 00:00:00
346760;200;1753-01-01 00:00:00
349768;200;2012-08-15 00:00:00
349768;280;2015-02-09 00:00:00
349769;280;1753-01-01 00:00:00
350112;280;1753-01-01 00:00:00
350692;230;1753-01-01 00:00:00
351120;280;1753-01-01 00:00:00
351193;211;1753-01-01 00:00:00
351194;280;1753-01-01 00:00:00
351466;280;1753-01-01 00:00:00
351467;280;1753-01-01 00:00:00
352869;211;1753-01-01 00:00:00
353123;232;2014-01-01 00:00:00
353124;280;1753-01-01 00:00:00
354143;280;1753-01-01 00:00:00
354144;280;1753-01-01 00:00:00
354621;280;2013-01-01 00:00:00
354701;280;2013-01-01 00:00:00
354970;280;1753-01-01 00:00:00
355454;270;1753-01-01 00:00:00
355859;270;1753-01-01 00:00:00
356065;280;1753-01-01 00:00:00
356853;280;1753-01-01 00:00:00
357188;280;2013-06-28 00:00:00
357417;280;1753-01-01 00:00:00
357419;280;1753-01-01 00:00:00
357539;400;1753-01-01 00:00:00
357540;400;1753-01-01 00:00:00
357541;400;1753-01-01 00:00:00
357542;400;1753-01-01 00:00:00
357543;400;1753-01-01 00:00:00
357544;400;1753-01-01 00:00:00
357545;400;1753-01-01 00:00:00
357546;400;1753-01-01 00:00:00
357547;400;1753-01-01 00:00:00
357548;400;1753-01-01 00:00:00
357549;400;1753-01-01 00:00:00
357956;460;1753-01-01 00:00:00
358879;280;1753-01-01 00:00:00
358903;230;1753-01-01 00:00:00
358906;460;1753-01-01 00:00:00
359026;230;2014-01-01 00:00:00
359057;440;1753-01-01 00:00:00
359246;211;1753-01-01 00:00:00
359247;280;1753-01-01 00:00:00
359248;200;1753-01-01 00:00:00
359249;280;2012-08-15 00:00:00
359685;270;1753-01-01 00:00:00
359687;230;1753-01-01 00:00:00
359719;280;1753-01-01 00:00:00
359728;200;1753-01-01 00:00:00
359743;211;1753-01-01 00:00:00
360374;211;2013-01-01 00:00:00
360655;200;1753-01-01 00:00:00
360656;211;1753-01-01 00:00:00
361459;280;1753-01-01 00:00:00
361460;280;1753-01-01 00:00:00
361622;229;2014-12-01 00:00:00
361732;230;1753-01-01 00:00:00
362092;280;1753-01-01 00:00:00
362730;211;1753-01-01 00:00:00
363116;230;1753-01-01 00:00:00
363117;230;1753-01-01 00:00:00
363118;230;1753-01-01 00:00:00
363119;230;1753-01-01 00:00:00
363127;230;1753-01-01 00:00:00
363128;280;1753-01-01 00:00:00
363376;280;1753-01-01 00:00:00
363548;280;2013-01-01 00:00:00
363549;280;2014-01-01 00:00:00
363577;450;1753-01-01 00:00:00
363578;450;1753-01-01 00:00:00
363963;200;1753-01-01 00:00:00
363964;200;1753-01-01 00:00:00
364053;280;1753-01-01 00:00:00
364054;211;1753-01-01 00:00:00
364142;450;1753-01-01 00:00:00
364150;280;1753-01-01 00:00:00
364559;212;2013-01-01 00:00:00
364702;242;1753-01-01 00:00:00
364736;270;1753-01-01 00:00:00
364865;280;2014-12-01 00:00:00
364866;280;1753-01-01 00:00:00
365315;280;2013-01-01 00:00:00
365496;270;1753-01-01 00:00:00
365710;280;1753-01-01 00:00:00
365795;270;1753-01-01 00:00:00
366159;211;1753-01-01 00:00:00
366408;280;2012-08-15 00:00:00
366409;200;2012-08-15 00:00:00
366588;200;1753-01-01 00:00:00
367034;280;2013-01-01 00:00:00
367035;280;2012-08-01 00:00:00
367036;280;2012-08-01 00:00:00
367038;270;2013-01-01 00:00:00
367193;230;2012-07-30 00:00:00
368576;211;2012-11-01 00:00:00
368837;200;2012-08-17 00:00:00
368838;280;2012-08-15 00:00:00
368909;450;2012-12-20 00:00:00
368910;450;2012-12-20 00:00:00
369176;242;2013-01-01 00:00:00
369332;280;2014-03-01 00:00:00
369767;211;2013-01-01 00:00:00
370053;280;2013-01-01 00:00:00
370054;280;2013-01-01 00:00:00
370055;280;2014-01-01 00:00:00
370056;450;2012-12-14 00:00:00
370057;450;2012-12-20 00:00:00
370190;242;2013-01-01 00:00:00
370223;280;2013-01-01 00:00:00
370479;402;2014-10-01 00:00:00
370548;280;2013-01-01 00:00:00
370570;211;2013-01-01 00:00:00
370764;280;2013-01-01 00:00:00
370765;280;2013-01-01 00:00:00
371056;229;2013-01-01 00:00:00
500000;500;1753-01-01 00:00:00
500001;500;1753-01-01 00:00:00
500002;500;1753-01-01 00:00:00
500003;500;1753-01-01 00:00:00
500004;500;1753-01-01 00:00:00
500005;500;1753-01-01 00:00:00
500006;500;1753-01-01 00:00:00
500007;500;1753-01-01 00:00:00
500008;500;1753-01-01 00:00:00
500009;500;1753-01-01 00:00:00
500167;400;1753-01-01 00:00:00
