Brand_Code;Descript;New_Code
B01203;ROBERTA DI CAMERINO;B01203
B01204;ROBERTO CAVALLI;B01204
B01205;ROMEO Y JULIETA,MONTECRISTO,HO;B01205
B01206;RORY'S STORY CUBES;B01206
B01207;ROSE ART;B01207
B01208;ROTARY;B01208
B01209;ROYAL SALUTE;B01209
B01210;RUSSIAN AMBER;B01210
B01211;RUSSIAN DIAMOND;B01211
B01212;SAGA FURS;B01212
B01213;SAINT BERNARD;B01213
B01214;SALEM;B01214
B01215;SALITOS;B01215
B01216;SAMORENS;B01216
B01217;SAN CRISTOBAL DE LA HABANA;B01217
B01218;SANCHO PANZA;B01218
B01219;SANTA RITA;B01219
B01220;SANTIAGO DE CUBA;B01220
B01221;SCORPIO;B01221
B01222;SEAGRAM'S;B01222
B01223;SEIKO;B01223
B01224;SENORIO DE VAL;B01224
B01225;SENORIO DEL CONDESTABLE;B01225
B01226;SHINER TOYS;B01226
B01227;SHUI JING FANG;B01227
B01228;SIKU;B01228
B01229;SILK CUT;B01229
B01230;SIMBA;B01230
B01231;SIR EDWARD'S;B01231
B01232;SISI;B01232
B01233;SKROSS;B01233
B01234;SMART KID;B01234
B01235;SMOKEHEAD;B01235
B01236;SONIA RYKIEL;B01236
B01237;ST.-REMY;B01237
B01238;STAR TIME;B01238
B01239;STEAMCREAM;B01239
B01240;STORCK;B01240
B01241;STORK;B01241
B01242;STREAMLINE;B01242
B01243;SUNJADE;B01243
B01244;SVEDKA;B01244
B01245;SWATCH;B01245
B01246;SWISS TRAVEL PRODUCTS;B01246
B01247;TABASCO;B01247
B01248;TALIKA;B01248
B01249;TAMBER;B01249
B01250;TECH 4  KIDS;B01250
B01251;TECHNOMARINE;B01251
B01252;TERRANOBLE;B01252
B01253;TERRONIO;B01253
B01254;THE ART OF SHAVING;B01254
B01255;THE BEAUTIFUL MIND SERIES VOL;B01255
B01256;THE ONE;B01256
B01257;THE SINGLETON OF DUFFTOWN;B01257
B01258;THIERRY MUGLER;B01258
B01259;THOMSON;B01259
B01260;TIFFANY&CO;B01260
B01261;TIME DESIGN;B01261
B01262;TINTAMAR;B01262
B01263;TISSOT;B01263
B01264;TOLO TOYS;B01264
B01265;TOMMY HILFIGER;B01265
B01266;TONGDE;B01266
B01267;TORRE OF TUSCANY;B01267
B01268;TOSCOW;B01268
B01269;TOY STATE;B01269
B01270;TRANSCEND;B01270
B01271;TRAVALO;B01271
B01272;TREFL;B01272
B01273;TRINIDAD;B01273
B01274;TROIKA;B01274
B01275;TRUDI;B01275
B01276;TRUST;B01276
B01277;TUBORG;B01277
B01278;TULLAMORE;B01278
B01279;U.UPMANN;B01279
B01280;UNGAVA;B01280
B01281;UNISET;B01281
B01282;UNIT;B01282
B01283;V. WESTWOOD;B01283
B01284;VAN GILS;B01284
B01285;VAN SLOOTEN;B01285
B01286;VEGAS ROBAINA;B01286
B01287;VERA WANG;B01287
B01288;VEUVE CLICQUOT PONSARDIN;B01288
B01289;VICTORINOX SWISS ARMY;B01289
B01290;VIEUX;B01290
B01291;VILLA BOLGHERE;B01291
B01292;VINA HERMINIA;B01292
B01293;VINA VALORIA;B01293
B01294;VIRGINIA;B01294
B01295;VITAOXYV;B01295
B01296;VOLNAY CARALLES;B01296
B01297;WASQUE;B01297
B01298;WERTHER'S ORIGINAL;B01298
B01299;WILD PLANET;B01299
B01300;WINX CLUB;B01300
B01301;WRIGLEY'S;B01301
B01302;WWF PLUSH COLLECTION;B01302
B01303;XQ TOYS;B01303
B01304;ZACAPA;B01304
B01305;ZENITH;B01305
B01306;ZERO;B01306
B01307;ZIP STAR;B01307
B01308;ZIZZLE;B01308
B01309;¿ Ã;B01309
B01310;¿ —≈——”¿– ‘”–;B01310
B01311;¿—“Œ–»ﬂ;B01311
B01312;¡¿¡¿≈¬— »…;B01312
B01313;¡¿… ¿À;B01313
B01314;¡≈À€…  Àﬁ◊;B01314
B01315;¬≈ƒ¿;B01315
B01316;¬≈–ÕŒ—“‹  ¿◊≈—“¬”;B01316
B01317;√À¿¬—œ»–““–≈—“;B01317
B01318;ƒ¬Œ…Õ¿ﬂ ¡≈À¿ﬂ;B01318
B01319;ƒ¬Œ…Õ¿ﬂ «ŒÀŒ“¿ﬂ;B01319
B01320;ƒŒ¡–€…;B01320
B01321;∆»√”À»;B01321
B01322;«¿“≈…Õ» »;B01322
B01323;«≈À≈Õ¿ﬂ Ã¿– ¿;B01323
B01324;«»ÃÕﬂﬂ ƒŒ–Œ√¿;B01324
B01325;«ŒÀŒ“¿ﬂ Ã¿– ¿;B01325
B01326;«ŒÀŒ“¿ﬂ –Œ——»ﬂ;B01326
B01327;«ŒÀŒ“Œ… —¿ƒ;B01327
B01328;»√–¿≈Ã ¬Ã≈—“≈;B01328
B01329;»Ãœ≈–¿“Œ–— ¿ﬂ  ŒÀÀ≈ ÷»ﬂ;B01329
B01330; ¿”‘‘Ã¿Õ;B01330
B01331; »–Œ¬— ¿ﬂ Ã¿“–≈ÿ ¿;B01331
B01332; –¿—ÕŒ≈ «ŒÀŒ“Œ;B01332
B01333; –¿—Õ€… Œ “ﬂ¡–‹;B01333
B01334; –”∆ ¿ » ¡Œ◊ ¿;B01334
B01335; –”“€≈ ¡Œ¡€;B01335
B01336;À≈√≈Õƒ¿  –≈ÃÀﬂ;B01336
B01337;Ã¿——¿Õƒ–¿;B01337
B01338;Ã¿ÿ¿ » Ã≈ƒ¬≈ƒ‹;B01338
B01339;Ã≈ƒ¬≈ƒ‹;B01339
B01340;Ã≈ƒÕ€… ¬—¿ƒÕ» ;B01340
B01341;ÃŒÕ≈“Õ€… ƒ¬Œ–;B01341
B01342;ÃŒ— ¬¿;B01342
B01343;Ã—- ’ŒÀƒ»Õ√;B01343
B01344;Ã”À‹“» œ”À‹“»;B01344
B01345;Ã”À‹“»-œ”À‹“»;B01345
B01346;Õ¿ÿ ¿¬“Œœ–ŒÃ;B01346
B01347;Õ≈‘“‹;B01347
B01348;Œ«≈–— »… —”¬≈Õ»–;B01348
B01349;Œ—“-¿À Œ;B01349
B01350;œ¿¬ÀŒ¬ŒœŒ—¿ƒ— »… œÀ¿“Œ ;B01350
B01351;œ¿–Ã¿;B01351
B01352;œ¿–Ã¿À¿“;B01352
B01353;œ≈–¬¿ﬂ √»À‹ƒ»ﬂ;B01353
B01354;œŒ¡≈ƒ¿;B01354
B01355;œŒÀ»“ŒÕ;B01355
B01356;œŒ—ŒÀ‹— ¿ﬂ;B01356
B01357;–¿— ¿“;B01357
B01358;–»◊;B01358
B01359;–Œ“ ‘–ŒÕ“;B01359
B01360;–”—— ¿ﬂ » –¿;B01360
B01361;–”—— »… ¡–»ÀÀ»¿Õ“;B01361
B01362;–”—— »… —“¿Õƒ¿–“;B01362
B01363;–”—— »… —“¿Õƒ¿–“;B01363
B01364;—¿¬»ÕŒ¬;B01364
B01365;—≈¬≈–Œ-¬Œ—“Œ◊Õ¿ﬂ  ŒÃœ¿Õ»ﬂ —¬ ;B01365
B01366;—»¡»–— ¿ﬂ  Œ–ŒÕ¿;B01366
B01367;—Ã≈ÿ¿–» »;B01367
B01368;—Œﬁ«;B01368
B01369;—Œﬁ«Ã”À‹“‘»À‹Ã;B01369
B01370;—œ–¿…“;B01370
B01371;—“≈œ œ¿«À;B01371
B01372;“≈’ÕŒœ¿– ;B01372
B01373;“–¿œ≈«Õ» Œ‘‘;B01373
B01374;”Ã ¿;B01374
B01375;‘¿–‘Œ– ¬≈–¡»ÀŒ ;B01375
B01376;‘» —» »;B01376
B01377;’Œ’ÀŒÃ¿;B01377
B01378;÷¿–— Œ≈ —≈ÀŒ;B01378
B01379;÷≈À‹—»…;B01379
B01380;◊≈–ÕŒ≈ «ŒÀŒ“Œ;B01380
B01381;ÿ¬≈œ—;B01381
B01382;ÿ”—“Œ¬;B01382
B01383;;B01383
B01384;;B01384
B01397;;B01397
B01398;;B01398
B01399;;B01399
B01400;;B01400
B01401;;B01401
B01402;KidzTech;
B01403;;
B01404;ICE ICEBERG;
B01405;VERSACE COLLECTION;
B01406;INVERNI SRL;
B01407;¿·‡Û ƒ˛ÒÓ;
B01408;¬» “Œ– ƒ–¿¬»Õ‹»;
B01409;B01409;
B01410;THE ONE;
B01411;J.GALLIANO;
B01412;Bourjois;
B01413;DAVIDOFF COG;
B01414;Spinmaster (Spy Gear);
B01415;BAGGINI;
B01416;VASHERON;
B01417;CEDC;
B01418;ANGRY BIRDS;
B01419;UNO DE;
B01420;La Marquise;
B01421;PERRIER-JOUET;
B01422;Principe;
B01423;Kondi;
B01424;DIAMOD;
B01425;TOVARITCH;
B01426;AGENT PROVOCATEUR;
B01427;TOUS;
B01428;Lefortovo;
B01429;Francis Kurkdjian;
B01430;X-RAY PROFUMO;
B01431;MC VIRTUTI;
B01432;Runway Bag;
B01433;Morgan and Oates;
B01434;JACOB & CO;
B01435;Yaffo;
B01436;CDI;
B01437;TOP STYLE;
B01438;Jakks Fairies;
B01439;Semenovo;
B01440;MARKA;
B01441;LAMARTIS;
B01442;Carner Barcelona;
B01443;LEKSIKOV;
B01444;ﬂ–Œ—À¿¬Õ¿;
B01445;Bino Tiani;
B01446;STATUS GROUP;
B01447;California wine;
B01448;BOGATIRY;
B01449;Wolford;
B01450;¿Î¸‰ÁÂÌ‡;
B01451;THIMBLE;
B01452;DUC d`O;
B01453;UNITRON;
B01454;ARCOROS;
B01455;RICH;
B01456;Canadian;
B01457;Alexandre J;
B01458;ALYSON OLDOINI;
B01459;Voov;
B01460;LALALOOPSY;
B01461;Filly;
B01462;Flying Fairy;
B01463;SQUARE;
B01464;Savvi;
B01465;CLIVE CHRISTIAN;
B01466;Asgharali;
B01467;AJMAL;
B01468;ETERNAL BY AJMAL;
B01469;ASH- Ashford Handels GmbH;
B01470;Dracco;
B01471;Jacque Lemans;
B01472;Kenneth Cole;
B01473;AJ Arabia;
B01474;Valentino Orlandi;
B01475;Lamborghini;
B01476;ZAINI;
B01477;SLAVA ZAITSEV LUXURY;
B01478;PERRIS MONTE CARLO;
B01479;KEIKO MECHERI;
B01480;AVANZO;
B01481;SoOud;
B01482;Roads;
B01483;Agonist;
B01484;EIGHT  BOB;
B01485;GIULIETTA CAPULETI;
B01486;MIMMINA FLOWER;
B01487;BOTTEGA VENETA;
B01488;Oro Gold;
B01489;œŒ –Œ¬— »…;
B01490;EXCELLANCE MOSCOW;
B01491;12 parfumers;
BACARDI;Bacardi;B00044
BAILEYS;Baileys;B00045
BAKUGAN;Bakugan;B00046
BALENCIAGA;Balenciaga;B00047
BALL_F;Ballantines Finest;B00048
BALL_G;Ballantines Gold;B00049
BALL_M;Ballantines Malt;B00050
BALLY;Bally;B00051
BALVENIE;Balvenie;B00052
BANDAI;Bandai;B00053
BAR PRODUCT;Bar Product;B00054
BARAKA;Baraka;B00055
BARBARA;Barbara;B00056
BARET;Baret;B00057
BARON;Baron;B00058
BARTLY;Bartly;B00059
BASSETTS;Bassets;B00060
BBURAGO;Bburago;B00061
BEAU RIVAGE;Beau Rivage;B00062
BEAUTIFUL MIND;Beautiful Mind;B00063
BEBELINO;Bebelino;
BECCA;BECCA;B00065
BECHEROVKA;Becherovka;B00066
BEEFEATER;Beefeater;B00067
BELLEGARDER;Bellegarde;B00068
BELLS;Bells;B00069
BELUGA;Beluga;B00070
BELVEDERE;Belvedere;
BEN_HED;Ben Hedges;B00071
BENBAT;BenBat;B00072
BERNEROY;Berneroy;B00073
BEST TOYS;Best Toys;B00074
BIOTHERM;Biotherm;B00075
BLACK BARRELL;Black Barrell;B00076
BLAVOD;Blavod;B00077
BLISS;Bliss;B00078
BLUHMOD;BLUHMOD;B00079
BLUMARINE;Blumarine;B00080
BOADICEA;Boadicea;B00081
BODY SHOP;BODY SHOP;
BOLS;Bols;B00082
BOMB_SAPH;Bombay Saphire;B00083
BON AQUA;Bon Aqua;B00084
BONCOURT;BONCOURT;
BONDIBON;Bondibon;B00085
BORDER;Border Biscuits;B00086
BOSCO ACTIVE;BOSCO Active;B00087
BOSCO ORIGINAL;BOSCO Original;B00088
BOSS;BOSS;B00089
BOSS_BAL;BALDESSARINI;B00090
BOSS_HUGO;BOSS_HUGO;B00091
BOUNTY;Bounty;B00093
BOWMORE;Bowmore Scotch;B00094
BRACCIALINI;BRACCIALINI;B00095
BRATZ;Bratz;B00096
BREITLING;Breitling;B00097
BRIC'S;Bric's;B00098
BRIDGE;Bridge;
