Type Code;No_;SEZ_No_;Expert_No_;Expert Date;Issue Date;End Date;Paper_No_;Cert_ Warning Code;Paper_Index;Blocked;Print Priority;Tree Group No_;KeyString;TreeLevel;Cert_Description_RUS;Cert_Description_ENU
CS;77.01.16.915.о.076627.09.08;;;1753-01-01 00:00:00.000;2008-09-12 00:00:00.000;2013-09-12 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;GIVENCHY
CS;77.01.16.915.о.092873.11.08;;;1753-01-01 00:00:00.000;2008-11-05 00:00:00.000;2013-11-05 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;DIOR
CS;77.01.16.915.о.099173.11.08;;;1753-01-01 00:00:00.000;2008-11-26 00:00:00.000;2013-11-26 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;DIOR
CS;77.01.16.915.о.101666.12.08;;;1753-01-01 00:00:00.000;2008-12-05 00:00:00.000;2013-12-05 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;GUERLAIN
CS;77.01.16.917.о.067550.10.06;;;1753-01-01 00:00:00.000;2006-10-27 00:00:00.000;2011-10-19 00:00:00.000;;;;0;0;0101;AABAAA;0;йнмэъй;CAMUS JOSEPHINE
CS;77.01.16.917.о.087742.12.06;;;1753-01-01 00:00:00.000;2006-12-26 00:00:00.000;2011-12-20 00:00:00.000;;;;0;0;0101;AABAAA;0;йнмэъй;MARTELL
CS;77.01.16.917.о.088356.12.06;;;1753-01-01 00:00:00.000;2006-12-27 00:00:00.000;2011-12-11 00:00:00.000;;;;0;0;0101;AABAAA;0;уепея;SANDEMAN DRY DON SHERRY
CS;77.01.16.917.о.088382.12.06;;;1753-01-01 00:00:00.000;2006-12-27 00:00:00.000;2011-12-11 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;SANDEMAN
CS;77.01.16.917.о.088383.12.06;;;1753-01-01 00:00:00.000;2006-12-27 00:00:00.000;2011-12-11 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;SANDEMAN
CS;77.01.16.917.о.088384.12.06;;;1753-01-01 00:00:00.000;2006-12-27 00:00:00.000;2011-12-11 00:00:00.000;;;;0;0;0101;AABAAA;0;онпрбеим;SANDEMAN LATE BOTTLED VINTAGE
CS;77.01.16.917.о.088393.12.06;;;1753-01-01 00:00:00.000;2006-12-27 00:00:00.000;2011-12-07 00:00:00.000;;;;0;0;0101;AABAAA;0;йнмэъй;REMY MARTIN EXTRA
CS;77.01.16.917.о.088598.11.07;;;1753-01-01 00:00:00.000;2007-11-19 00:00:00.000;2012-11-15 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DOMAINE PINNACLE
CS;77.01.16.918.о.009263.02.07;;;1753-01-01 00:00:00.000;2007-02-15 00:00:00.000;2012-02-06 00:00:00.000;;;;0;0;0101;AABAAA;0;юоепхрхб;RICARD APERETIF ANISE
CS;77.01.16.918.о.009280.02.07;;;1753-01-01 00:00:00.000;2007-02-15 00:00:00.000;2012-02-06 00:00:00.000;;;;0;0;0101;AABAAA;0;пнл;LAMBS NAVY RUM
CS;77.01.16.918.о.009282.02.07;;;1753-01-01 00:00:00.000;2007-02-15 00:00:00.000;2012-02-13 00:00:00.000;;;;0;0;0101;AABAAA;0;бхяйх;GLENLIVET SINGLE MALT 12YO
CS;77.01.16.918.о.009286.02.07;;;1753-01-01 00:00:00.000;2007-02-15 00:00:00.000;2012-02-06 00:00:00.000;;;;0;0;0101;AABAAA;0;бхяйх;GENTLEMAN JACK
CS;77.01.16.918.о.009291.02.07;;;1753-01-01 00:00:00.000;2007-02-15 00:00:00.000;2012-02-06 00:00:00.000;;;;0;0;0101;AABAAA;0;бхяйх;STRATHISLA  PURE HIGHLAND MALT 12Y.O.
CS;77.01.16.918.о.009293.02.07;;;1753-01-01 00:00:00.000;2007-02-15 00:00:00.000;2012-02-06 00:00:00.000;;;;0;0;0101;AABAAA;0;кхйеп;SOUTHERN COMFORT
CS;77.01.16.918.о.009297.02.07;;;1753-01-01 00:00:00.000;2007-02-15 00:00:00.000;2012-02-06 00:00:00.000;;;;0;0;0101;AABAAA;0;бхяйх;GLENLIVET SINGLE MALT
CS;77.01.16.918.о.022516.04.10;;;1753-01-01 00:00:00.000;2010-04-12 00:00:00.000;2015-04-12 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;PATRON
CS;77.01.16.918.о.022803.04.10;;;1753-01-01 00:00:00.000;2010-04-13 00:00:00.000;2015-04-12 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;PATRON
CS;77.01.16.918.о.022804.04.10;;;1753-01-01 00:00:00.000;2010-04-13 00:00:00.000;2015-04-12 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;PATRON
CS;77.01.16.918.о.026645.04.07;;;1753-01-01 00:00:00.000;2007-04-13 00:00:00.000;2009-04-26 00:00:00.000;;;;0;0;0101;AABAAA;0;бндйю;FINLANDIA
CS;77.01.16.918.о.028587.04.08;;;1753-01-01 00:00:00.000;2008-04-15 00:00:00.000;2013-04-14 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;BUSHMILLS
CS;77.01.16.918.о.042077.07.09;;;1753-01-01 00:00:00.000;2009-07-06 00:00:00.000;2014-07-06 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.055877.08.09;;;1753-01-01 00:00:00.000;2009-08-26 00:00:00.000;2010-08-26 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;BAILEYS
CS;77.01.16.918.о.059422.09.09;;;1753-01-01 00:00:00.000;2009-09-07 00:00:00.000;2014-09-07 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.060317.10.06;;;1753-01-01 00:00:00.000;2006-10-03 00:00:00.000;2011-10-03 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;MEUKOW
CS;77.01.16.918.о.060474.07.08;;;1753-01-01 00:00:00.000;2008-07-25 00:00:00.000;2013-01-11 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.060477.07.08;;;1753-01-01 00:00:00.000;2008-07-25 00:00:00.000;2012-12-17 00:00:00.000;;;;0;0;0101;AABAAA;0;бхяйх;DIAGEO
CS;77.01.16.918.о.061544.10.06;;;1753-01-01 00:00:00.000;2006-10-06 00:00:00.000;2011-10-05 00:00:00.000;;;;0;0;0101;AABAAA;0;рейхкю;PEPE LOPEZ SILVER
CS;77.01.16.918.о.063078.09.09;;;1753-01-01 00:00:00.000;2009-09-18 00:00:00.000;2014-09-18 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.063079.09.09;;;1753-01-01 00:00:00.000;2009-09-18 00:00:00.000;2014-09-18 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.063080.09.09;;;1753-01-01 00:00:00.000;2009-09-18 00:00:00.000;2014-09-18 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.063135.09.09;;;1753-01-01 00:00:00.000;2009-09-18 00:00:00.000;2014-09-18 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.063137.09.09;;;1753-01-01 00:00:00.000;2009-09-18 00:00:00.000;2014-09-18 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.063138.09.09;;;1753-01-01 00:00:00.000;2009-09-18 00:00:00.000;2014-09-18 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.064891.08.08;;;1753-01-01 00:00:00.000;2008-08-07 00:00:00.000;2012-09-20 00:00:00.000;;;;0;0;0101;AABAAA;0;кхйеп;DIAGEO
CS;77.01.16.918.о.069617.08.08;;;1753-01-01 00:00:00.000;2008-08-21 00:00:00.000;2012-10-10 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.069930.08.08;;;1753-01-01 00:00:00.000;2008-08-22 00:00:00.000;2012-10-11 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.069931.08.08;;;1753-01-01 00:00:00.000;2008-08-22 00:00:00.000;2012-09-25 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.070490.08.08;;;1753-01-01 00:00:00.000;2008-08-25 00:00:00.000;2012-09-25 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.070491.08.08;;;1753-01-01 00:00:00.000;2008-08-25 00:00:00.000;2012-09-18 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.070493.08.08;;;1753-01-01 00:00:00.000;2008-08-25 00:00:00.000;2012-11-07 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.070929.08.08;;;1753-01-01 00:00:00.000;2008-08-26 00:00:00.000;2012-09-18 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.071374.08.08;;;1753-01-01 00:00:00.000;2008-08-27 00:00:00.000;2012-09-27 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.071377.08.08;;;1753-01-01 00:00:00.000;2008-08-27 00:00:00.000;2012-10-02 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.071383.08.08;;;1753-01-01 00:00:00.000;2008-08-27 00:00:00.000;2012-09-24 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.071392.08.08;;;1753-01-01 00:00:00.000;2008-08-27 00:00:00.000;2012-10-05 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.071394.08.08;;;1753-01-01 00:00:00.000;2008-08-27 00:00:00.000;2012-09-24 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.071398.08.08;;;1753-01-01 00:00:00.000;2008-08-27 00:00:00.000;2012-09-24 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.072785.09.08;;;1753-01-01 00:00:00.000;2008-09-01 00:00:00.000;2012-09-04 00:00:00.000;;;;0;0;0101;AABAAA;0;бндйю;SMIRNOFF
CS;77.01.16.918.о.073677.09.08;;;1753-01-01 00:00:00.000;2008-09-03 00:00:00.000;2012-04-28 00:00:00.000;;;;0;0;0101;AABAAA;0;юкйнцнкэ;DIAGEO
CS;77.01.16.918.о.078385.10.07;;;1753-01-01 00:00:00.000;2007-10-11 00:00:00.000;2012-10-11 00:00:00.000;;;;0;0;0101;AABAAA;0;бхяйх хпкюмдяйхи ндмнянкнбши;BUSHMILLS
CS;77.01.16.918.о.081239.12.06;;;1753-01-01 00:00:00.000;2006-12-08 00:00:00.000;2011-12-08 00:00:00.000;;;;0;0;0101;AABAAA;0;бхяйх;GRANTS
