No_;Item No_;Unit of Measure Code;Descript;Descript2;Quantity per UoM;No_ Series;Item Department Code;Item Group Code;Item Tree Group No_;Gross Sales Amount
D00684;751798;ШТ;Шоссон с яблоком;;1.00000000000000000000;DISH;99;9904;9904008;0.00000000000000000000
D00685;751799;ШТ;Шоссон с вишней;;1.00000000000000000000;DISH;99;9904;9904008;0.00000000000000000000
D00686;751800;ШТ;Тарталетка с фруктами;;1.00000000000000000000;DISH;99;9904;9904008;0.00000000000000000000
D00687;751801;ШТ;Dunhill Fine Cut Lts;;1.00000000000000000000;DISH;99;9905;9905001;0.00000000000000000000
D00688;751803;ПОРЦИЯ;Jameson Gold;;0.05000000000000000000;DISH;99;9901;9901004;0.00000000000000000000
D00690;500000;1/2 ПИНТЫ;Гиннесс 30Л;;0.26000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00691;500000;ПИНТА;Гиннесс Пинта;;0.55000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00692;500001;ПОРЦИЯ 0,3;Бочкарев 0,3;;0.33000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00693;500001;ПОРЦИЯ 0,5;Бочкарев 0,5;;0.55000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00695;500002;ПОРЦИЯ 0,5;Хейнекен 0,5;;0.57000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00696;500003;1/2 ПИНТЫ;Килкенни 1/2 Пинты;;0.26000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00697;500003;ПИНТА;Килкенни Пинта;;0.57000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00698;500004;SGL;Баклер б/а 0,33;;1.00000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00700;500005;SGL;Хейнекен бут 0,33;;1.00000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00701;500006;SGL;Амстел 0,33;;1.00000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00702;500007;ПОРЦИЯ 330;Эдельвейс 0,3;;0.33000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00703;500007;ПОРЦИЯ 0,5;Эдельвейс 0,5;;0.57000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00704;500008;SGL;Эдельвейс бут 0,5;;1.00000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00705;500009;SGL;Бад 0,33;;1.00000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00706;500010;ПОРЦИЯ;Banana Milk;;1.00000000000000000000;DISH;97;9702;9702001;0.00000000000000000000
D00707;500011;ПОРЦИЯ;Ванильный коктейль;;1.00000000000000000000;DISH;97;9702;9702001;0.00000000000000000000
D00708;500013;ПОРЦИЯ;Клубничный коктель;;1.00000000000000000000;DISH;97;9702;9702001;0.00000000000000000000
D00709;500014;ПОРЦИЯ;Фисташковый молочный;;1.00000000000000000000;DISH;97;9702;9702001;0.00000000000000000000
D00710;500012;ПОРЦИЯ;Шоколадный коктейль;;1.00000000000000000000;DISH;97;9702;9702001;0.00000000000000000000
D00711;500015;ПОРЦИЯ 0,2;Морс клюквенный;;0.20000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00712;500016;ПОРЦИЯ 0,2;Апельсиновый сок;;0.20000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00713;500017;ПОРЦИЯ 0,2;Ананасовый сок;;0.20000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00714;500018;ПОРЦИЯ 0,2;Яблочный сок;;0.20000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00715;500019;ПОРЦИЯ 0,2;Томатный сок;;0.20000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00716;500020;ПОРЦИЯ 0,2;Вишневый сок;;0.20000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00717;500021;ПОРЦИЯ 0,2;Грейпфрутовый сок;;0.20000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00718;500022;SGL;Сок Апельсин 0,25;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00719;500023;SGL;Сок Яблоко 0,25;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00720;500024;SGL;Сок Томат 0,25;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00721;500025;SGL;Сок Ананас 0,25;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00722;500027;SGL;Нектар Вишня 0,25;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00723;500029;SGL;Морс ягодный 0,25;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00724;500030;ПОРЦИЯ 0,3;Fresh Orange 0,3;;0.30000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D00725;500030;ПОРЦИЯ 0,2;Orange Juice;;0.20000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D00726;500033;ПОРЦИЯ 0,3;Fresh Grapefruit 0,3;;0.30000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D00727;500033;ПОРЦИЯ 0,2;Grapefruit Juice;;0.20000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D00728;500031;ПОРЦИЯ 0,2;Fresh Apple Juice 0,2;;0.20000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D00729;500031;ПОРЦИЯ 0,5;Fresh Apple 0,5;;0.50000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D00730;500030;ПОРЦИЯ 0,5;Fresh Orange 0,5;;0.50000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D00731;500033;ПОРЦИЯ 0,5;Fresh Grapefruit 0,5;;0.50000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D00732;500032;ПОРЦИЯ 0,3;Fresh Pineapple 0,3;;0.30000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D00733;500032;ПОРЦИЯ 0,5;Fresh Pineapple 0,5;;0.50000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D00734;500034;ПОРЦИЯ 0,3;Fresh Pear 0,3;;0.30000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D00735;500034;ПОРЦИЯ 0,5;Fresh Pear 0,5;;0.50000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D00736;500035;ПОРЦИЯ 0,3;Fresh Mandarin 0,3;;0.30000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D00737;500035;ПОРЦИЯ 0,5;Fresh Mandarin 0,5;;0.50000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D00738;500036;ПОРЦИЯ 0,2;Fresh Carrot Juice 0,2;;0.20000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D00739;500036;ПОРЦИЯ 0,5;Fresh Carrot 0,5;;0.50000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D00740;500039;SGL;Пепси 0,25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00741;500040;SGL;Пепси лайт 0,25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00742;500041;SGL;7up 0,25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00743;500042;SGL;Айрен брю 0,25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00744;500043;SGL;Тоник 0,25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00745;500044;SGL;Содовая 0,25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00746;500045;SGL;Красный чай 0,6;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00747;500055;SGL;Липтон Лимон 0,6;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00748;500056;SGL;Зеленый чай 0,6;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00749;500058;SGL;Белый чай 0,6;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00750;500046;SGL;Эвиан 0,25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00751;500047;SGL;Адреналин Раш 0,25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00752;500048;SGL;Аква с газом 0,25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00753;500050;SGL;Аква без газа 0,25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00754;500049;SGL;Миринда 0,25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00755;500051;SGL;Эвиан 0,33;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00756;500052;SGL;Аква мин.0,6 б/г;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00757;500053;SGL;Аква мин. 0,6 газ;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00758;500054;SGL;Феррарелле 0,33;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00759;500068;ПОРЦИЯ;Эспрессо;;1.00000000000000000000;DISH;97;9703;9703002;0.00000000000000000000
D00760;500069;ПОРЦИЯ;двойной эспрессо;;1.00000000000000000000;DISH;97;9703;9703002;0.00000000000000000000
D00761;500071;ПОРЦИЯ;Латте c сиропом;;1.00000000000000000000;DISH;97;9703;9703002;0.00000000000000000000
D00762;500072;ПОРЦИЯ;Капуччино;;1.00000000000000000000;DISH;97;9703;9703002;0.00000000000000000000
D00763;500075;ПОРЦИЯ;Горячий шоколад;;1.00000000000000000000;DISH;97;9703;9703003;0.00000000000000000000
D00764;500078;ПОРЦИЯ;Каппучино ст.;;1.00000000000000000000;DISH;97;9703;9703006;0.00000000000000000000
D00765;500079;ПОРЦИЯ;Латте ст.;;1.00000000000000000000;DISH;97;9703;9703006;0.00000000000000000000
D00766;500080;ПОРЦИЯ;Эспрессо ст.;;1.00000000000000000000;DISH;97;9703;9703006;0.00000000000000000000
D00767;500118;SGL;Круассан классический;;1.00000000000000000000;DISH;97;9704;9704006;0.00000000000000000000
D00768;500119;SGL;Шоссон с Яблоком;;1.00000000000000000000;DISH;97;9704;9704006;0.00000000000000000000
D00769;500120;SGL;Шоссон с Вишней;;1.00000000000000000000;DISH;97;9704;9704006;0.00000000000000000000
D00770;500121;SGL;Даниш с фруктами;;1.00000000000000000000;DISH;97;9704;9704006;0.00000000000000000000
D00771;500137;SGL;Чипсы Лейс;;1.00000000000000000000;DISH;97;9704;9704008;0.00000000000000000000
D00772;500161;SGL;Чипсы Pringles;;1.00000000000000000000;DISH;97;9704;9704008;0.00000000000000000000
