DISCOUNT_ID_EUR;DISCOUNT_ID_USD;DISCOUNT_ID_RUB;DESCR;;;;;;;;;
17357232;;;93 -  SMIRNOFF RED 3L  5 EURO OFF;;;;;;;;;
17357241;;;94 -  PROMO LIQUERS - DISCOUNT 10 SVO3;;;;;;;;;
25691999;;;94 LADIES COLL  20  íà ÷åê;;;;;;;;;
17357275;17357275;;95 - AEROFIRST SECURITY BAG;;;;;;;;;
25692012;;;95 LADIES COLL 20 íà ïîçèöèþ;;;;;;;;;
17357300;;;96 - AEROFIRST SECURITY BAG 333;;;;;;;;;
17357302;;;97 - AEROFIRST SECURITY BAG 222;;;;;;;;;
17357303;;;98 - ZACAPA CENTENARIO 23YO 1L 19 EURO OFF;;;;;;;;;
17357309;;;99 - MARTINI  0.75L 2 EURO OFF;;;;;;;;;
24190057;;;99 - Old collection spring-Summer'2010 10;;;;;;;;;
17590472;;;Company account 50;;;;;;;;;
;16598435;;68 - COURVOISIER VSOP 1lL save 5 usd;;;;;;;;;
;17357223;;91 - ANY M&M 2 USD OFF;;;;;;;;;
;;16223371;014 - M&Ms save 120 rub;;;;;;;;;
;;16158373;002 - BEER HAMOVNIKI 0.5L  3 ÇÀ 2;;;;;;;;;
;;16222260;008 - OUT OF DATE 80 perc off;;;;;;;;;
;;16222673;011 - M&M SPEAKER CASE 3 FOR 2;;;;;;;;;
;;12584170;01 - 5 ñêèäêà;;;;;;;;;
;;16222290;009 - OUT OF DATE 40 perc off;;;;;;;;;
;;16222674;012 - MARC MONO 3 FOR 2;;;;;;;;;
;;16223501;015 - OUT  OF  DATE 90 perc off;;;;;;;;;
;;15960328;001 -GROISCH ÏÈÂÎ 3 ÇÀ  2;;;;;;;;;
;;16222238;005 - GORDONS DRY & COLA 2 for 1;;;;;;;;;
;;16222248;006 - ÑÊÈÄÊÀ ÍÀ ÈÃÐÓØÊÈ 50 ÏÐÎÖÅÍÒÎÂ;;;;;;;;;
;;16222259;007 - OUT OF DATE 50 perc off;;;;;;;;;
;;16222623;010 - OUT OF DATE 15 perc off;;;;;;;;;
;;16222788;013 - ÄÆÈÍ+ÒÎÍÈÊ ÊÓÏÈ 2 ÇÀ 1;;;;;;;;;
;;12584171;02 - 10 ñêèäêà;;;;;;;;;
;;16173557;003 - Ëåäåíöû ôðóêòîâûå 3 çà 2;;;;;;;;;
;;16222205;004 - MALTESERS XL POUCH 300G save 120 RUB;;;;;;;;;
;;16222247;00 - 008 SWAR discount 10;;;;;;;;;
;17357309;;99 - MARTINI BIANCO BUY 1 SAVE 5 USD;;;;;;;;;
;17357302;;97 - MARTINI PROSECCO 0.75L  4 USD OFF;;;;;;;;;
;14278321;;52 - VODKA FINLANDIA buy 2 get 20 perc off;;;;;;;;;
;16839067;;77 - GLENLIVET SAVE 6 USD;;;;;;;;;
;17409557;;13 -  Field of wonders 195 gr  save 13 usd;;;;;;;;;
;45125146;;118 - SVO-3 NUTS 60 percent off;;;;;;;;;
;45125150;;121 - LINDT DIVA 182gr   7 USD OFF;;;;;;;;;
;45125148;;120 - LINDT DIVA 57gr   7 USD OFF;;;;;;;;;
;45125170;;125 - WHITE GOLD PREMIUM 0.5L 4 USD off;;;;;;;;;
;16839069;;78 - SMIRNOFF RED 1L 3 USD OFF;;;;;;;;;
;17409325;;09 - DON JULIO ANEJO .7L buy 1 save 14 USD;;;;;;;;;
;12475694;;47 - VODKA KREMLIN AWARD 1L save 13 usd;;;;;;;;;
;45125087;;103  -CINZANO 0.75L  ANY ONE SAVE 4 USD;;;;;;;;;
;45125086;;102 -- MONDORO 0.75L  ANY ONE 5 USD OFF;;;;;;;;;
;18524033;;14 - KINDER CHOCOLATE 4 USD OFF;;;;;;;;;
;45125103;;114 -  GANCIA  SAVE 2 USD;;;;;;;;;
;18182278;;21 - KINDER CHOCOLATE save 2 USD;;;;;;;;;
;45125173;;128 - BACARDI BUY ANY 2 save 7 USD;;;;;;;;;
;45125255;;145 - KAUFFMAN SOFT .7L 12 USD OFF;;;;;;;;;
;17357227;;92 - CHIVAS Brothers Blend 12 YO  save 13 usd;;;;;;;;;
;11740745;;06 -BACARDI  ANY 1 - 5 USD OFF;;;;;;;;;
;12767537;;49 - REMY MARTIN VSOP 0.5L save 8 USD;;;;;;;;;
;16849995;;81 - perfume 2 items for 100 USD;;;;;;;;;
;10909427;;11 - COLA SCHWEPPES 0.5L any one 90 perc off;;;;;;;;;
;45125203;;138 - STAR 115G 3 USD OFF;;;;;;;;;
;45125202;;137 - LIND DIVA HATBOX 229G SAVE 12 USD;;;;;;;;;
;45125232;;151 - AGATHA BUY 2 SAVE 40 PERCENT;;;;;;;;;
;18345117;;22 - LINDT NAPOLITANS ASS 500gr save  6 USD;;;;;;;;;
;45125209;;143 - GREEN MARKA SAVE 3 USD;;;;;;;;;
