GLOSSARY_ID_DF;SWS_DF;GLOSSARY_ID_DP;SWS_DP
45123531;NO BRAND;16222761;NO BRAND
45123557;LIFETRONS;16223151;LIFETRONS
45123562;CANADIAN;;
45123564;COURVOISIER;;
45123571;ALEXANDRE J;16222784;ALEXANDRE J
45123573;ALYSON OLDOINI;16222785;ALYSON OLDOINI
45123612;ALFA-ALYANCE;;
45123613;A.V. JEWELRY OF NY;;
45123614;CARAN D'ARCHE;;
45123615;DYRBERG KERN;16223118;DYRBERG KERN
45123616;IBB;;
45123617;LA MARQUISE;;
45123618;IDEAL;;
45123619;MEIRAT T;;
45123620;NOUVELLE BAGUE;;
45123621;ROBERTO BRAVO;;
45123646;FEDOSKINO;;
45123647;HOLUY;;
45123648;PALEKH;;
45123649;LEKSIKOV;16223406;LEKSIKOV
45123655;DRAGON;16222996;Dragon
45123660;VOOV;16223043;VOOV
45123661;SPINMASTER (SPY GEAR);;
45123662;FILLY;16222997;FILLY
45123663;FLYING FAIRY;16223272;FLYING FAIRY
45123694;MSTERA;;
45123723;PPM;16223346;PPM
45123724;SHAMROCK GIFT;16222843;SHAMROCK GIFT
45123725;ART LAIN;;
45123727;POLIGLOT;16223191;POLIGLOT
45123728;MAXI TOYS;16223009;MAXI TOYS
45123729;SOCHI.RU 2014;16223008;SOCHI.RU 2014
45123731;KUKLI MASLENNIKIVOY;;
45123749;BYREDO;16222850;BYREDO
45123750;K by KILIAN;16222851;K by Kilian
45123767;MARKA;;
45123802;VERSACE - EUROITALIA;16222713;VERSACE - EUROITALIA
45123835;RLAUREN;16223069;RLAUREN
45123846;CD;;
45123849;N_RICCI;16222745;N_RICCI
45123857;– ;;
45123859;TRAVALO;16223220;TRAVALO
45123860;DVD;;
45123864;DIOR;16222706;DIOR
45123867;STROCHKOV;;
45123868;T_SABO;;
45123873;COMBINACIONES;;
45123874;DEWARS;;
45123875;MACALLAN;;
45123888;SQUARE;;
45123898;CLARISONIC;;
45123976;Armani;16222693;ARMANI
45123991;CODELLO;16222863;CODELLO
45124015;DANOVA SOUVENIRS;16223350;DANOVA SOUVENIRS
45124024;CAVIAR;;
45124025;UNITEDCONF;16222665;UNITEDCONF
45124026;MEDIA PRESS;16223110;MEDIA PRESS
45124027;CRAB MEAT;;
45124028;CANON;;
45124031;ESTERK LUX PARFUME;;
45124032;BALDESSARINI;16222694;BALDESSARINI
45124033;AZZARO;;
45124036;SCANNON/GUCCI;;
45124040;GILLETTE;;
45124041;NOVII SVET;;
45124043;IRISH MIST;;
45124044;KNAPPOGUE;;
45124045;LOREAL_MM;16222690;LOREAL_MM
45124046;LA SOURCE;;
45124047;LA MARQUISEL;;
45124049;MS;;
45124053;PUNCH;;
45124054;PRUDENCE;16222748;PRUDENCE
45124058;RUINART;;
45124059;SPASSKAYA TOWER;;
45124060;SILKCUT;;
45124069;HILFIGER;;
45124070;TRANSCEND;;
45124071;TOUS;;
45124072;UNO;;
45124074;MOUTAI;;
45124075;RS_PLATINUM;;
45124087;CUBICFUN;16223027;CUBICFUN
45124088;Rio;16223028;Rio
45124090;SIMA-LAND;;
45124096;∆Œ—“Œ¬Œ;;
45124117;BUZZ BEE TOYS;16222999;BUZZ BEE TOYS
45124118;SAVVI;16223049;Savvi
45124170;ZYR;;
45124171;TSARSKAYA;16223100;TSARSKAYA
45124182;CLIVE CHRISTIAN;16223209;CLIVE CHRISTIAN
45124183;ASGHARALI;16223210;Asgharali
45124189;AJMAL;16223213;AJMAL
45124202;DESIGUAL;16223056;DESIGUAL
45124207;C_HERRERA;16222702;C_HERRERA
45124208; ŒÕ‘¿›À‹;16223231; ŒÕ‘¿›À‹
45124214;ASHFORD;;
45124230;HAIG;;
45124233;ZAKKA;;
45124234;ODOYO;16223494;ODOYO
45124235;LEPOW;;
45124236;WESC;;
45124237;ECHO;;
45124238;SMS AUDIO;;
45124252;MOMAX;16223338;MOMAX
45124284;DRACCO;16223239;Dracco
45124291;OVERSEAS;;
45124309;POWER RANGERS;16223257;Power Rangers
45124323;MIWORLD;16223261;Miworld
45124327;ISSEYMIY;16222993;ISSEYMIY
45124332;COCCINELLE;;
45124347;CRASHLINGS;16223274;CRASHLINGS
45124356;DAILRADE;;
45124368;SUNJADE;;
45124386;GLENKINCHI;;
45124390;CARDHU;;
45124408;Multi-Pulti;16223336;MULTI-PULTI
45124409;GALAXY;16223337;GALAXY
45124464;KDLAB ARAREE;;
45124477;MOTORMAX;16223351;MOTORMAX
45124478;RAVENSBURGER;;
45124490;MAUI_JIM;16223171;MAUI_JIM
45124491;CAVALLI_J;16223160;CAVALLI_J
45124492;MBLANC;;
45124493;CAVALLI_R;16223162;CAVALLI_R
45124537;RS_GOLD;;
45124546;S_FERRAGAMO;16222721;S_FERRAGAMO
45124571;ARMANI_GIO;;
45124572;DOLCE_GAB;16222633;DOLCE_GAB
45124573;ARMANI_EMP;;
45124574;M_KORS;;
45124575;RAY_BAN_JUNIOR;;
45124576;TIFFANY;;
45124583;VICHE;;
45124588;CARRERA KIDS;;
45124589;J_CHOO;16223073;J_CHOO
45124636;AJ ARABIA;;
45124655;HAPPY PLUGS;16223387;Happy Plugs
45124670;WINE;;
45124671;NORMANDY;;
45124724;BALENCIAGA;16223485;BALENCIAGA
45124726;LA TWEEZ;16223054;LA TWEEZ
45124732;ZAINI;16223408;ZAINI
45124848;HEINEKEN;;
45124849;MOET_CH;16223253;MOET_CH
45124854;TINTAMAR;16223222;TINTAMAR
45124855;MORGAN&OATES;16223061;MORGAN&OATES
45124856;TROIKA;;
45124857;KYUTEC;16223128;KYUTEC
45124858;ESTER BIJOUX;16223123;ESTER BIJOUX
45124859;LUNAVIT;16223131;LUNAVIT
45124860;GOLD SILK;;
45124861;TOSCOW;16223182;TOSCOW
45124862;SOSOMA;16223132;SOSOMA
45124863;LA CHANCE;16223133;LA CHANCE
45124865;BROSWAY;16223115;BROSWAY
45124866;FERVOR;16223175;FERVOR
45124867;UNO DE;;
45124868;CAROLEE;16223130;CAROLEE
45124869;ANTWERP DESIGN;;
45124870;ANTICA MURRINA;;
45124875;ZIP STAR;;
45124876;DOOWELL;;
45124877;NANODOTS;16223023;NANODOTS
45124878;Jacque Lemans;16223146;Jacque Lemans
45124879;EARNSHAW;16223134;EARNSHAW
45124881;AVIATOR;16223173;AVIATOR
45124882;MANOIR;16223174;MANOIR
45124883;ROAMER;;
45124884;ICE WATCH;16223142;ICE WATCH
45124885;SEIKO;16223187;SEIKO
45124886;BREO;;
45124887;ROTARY;;
45124890;PARIS HILTON;;
45124918;BOSS_HUGO;16222699;BOSS_HUGO
45125004;CDI;16223021;CDI
45125006;MGAE;16223273;MGAE
45125020;J_COUTURE;16222734;J_COUTURE
45125021;PASHMA;16223055;PASHMA
45125033;TAF TOYS;16223275;TAF TOYS
;;16222629;BINO TIANI
;;16222637;VASHERON
;;16222638;GIORGIO FEDON
;;16222639;ZEST
;;16222688;A.BANDERAS
;;16222689;ALVIERO MARTINI
;;16222691;AGENT PROVOCATEUR
;;16222698;BOBBI BROWN
;;16222705;Carner Barcelona
;;16222720;FERAUD
;;16222732;JV
;;16222737;KIMMI
;;16222767;BRIC'S
;;16222768;LAMARTHE
;;16223051;SCHCHARD&FRIESE
;;16223062;BAGGINI
;;16223064;SEEBERGER
;;16223065;STETSON
;;16223074;SALVADORD
;;16223090;BAR PRODUCT
;;16223098;Kondi
;;16223124;FABER CASTELL
;;16223125;FOLLI FOLLIE
;;16223159;MISAKI
;;16223188;«ŒÀŒ“Œ… —¿ƒ
;;16223252;ARTSHAVING
;;16223260;ZAPF
;;16223270;LITTLE TIKES
;;16223294;MONSUNO
;;16223335;Kenneth Cole
;;16223404;Valentino Orlandi
;;16223405;LAMBORGINI
;;16223505;SLAVA ZAITSEV LUXURY
45125161;ABSENTE 55;;
45125191;AGONIST;;
45122185;AMBER;;
45125133;B00999;16223544;
45125127;B01097;;
45125340;B01160;;
45125384;B01265;;
45125339;B01449;;
45125431;BONCOURT;;
45125438;BOSS;;
45125158;BOTTEGA;;
45125244;BOTTEGA VENETA;16223609;
45125245;CK;16223610;
45125416;CLEMENT;;
45125156;DEBRISE DULAC;;
45122328;DELETE!;;
45125053;DIAGEO;;
45125192;EIGHT BOB;;
45125221;F_ROCHER;;
45125160;FREIXENET;;
45125322;GIRLIE STYLE;;
45125157;GODET FRERES SA;;
45125162;HARDY;;
45125415;JANNEAU;;
45125417;JM;;
45125128;KEIKO MECHERI;16223540;
45125222;KINDER;;
45125154;LOUIS ROEDERER;;
45125246;MARK JACOBS;16223612;
45125163;MAXXIUM;;
45125155;MOZART;;
45125286;ORO GOLD;16223628;
45125125;PAW PATROL;16223537;
45125129;PERRIS MONTE CARLO;16223542;
45125052;R_MARTIN;;
45125190;ROADS;;
45124075;RS_PLAT;;
45124583;SAS MAISON DE LA VODKA;;
45125347;SHISEIDO;16223583;
45125189;SOOUD;;
45125249;SUDIO;16223613;
45125429;TESSERON;;
45125210;TOYSTATE;16223573;
45125440;VENUS;;
45125293;VIKTOR & ROLF;16223629;
45125159;WBDF HIBBERTS;;
45125211;XQ;16223572;
45125213;√Œ–Œƒ Ã¿—“≈–Œ¬;16223575;
45122594; –¿—Õ¿ﬂ ÿ¿œŒ◊ ¿;;
45122532; –≈ÃÀ≈¬— »≈;;
45122706;ÃŒ— Œ¬— »…;;
45125302;œŒ –Œ¬— »…;16223633;
;GIULIETTA CAPULETI;16223567;GIULIETTA CAPULETI
;KIPLING ( »œÀ»Õ√);16223648;KIPLING ( »œÀ»Õ√)
;M.BLANC;16223558;M.BLANC
;MIMMINA FLOWER;16223568;MIMMINA FLOWER
;NARVIN;16223630;NARVIN
;RADLEY;16223549;RADLEY
;TRASH PACK;16223011;TRASH PACK
