GLOSSARY_ID_DF;SWS_DF;GLOSSARY_ID_DP;SWS_DP
45122484;RUGGEAR;16223121;RUGGEAR
45122486;SEVIGNE;16222642;SEVIGNE
45122487;ROSE_CO;16222751;ROSE_CO
45122488;BISQUIT;;
45122489;TALIKA;16222755;TALIKA
45122490;VICTORINOX;;
45122491;SWISS SMILE;16222754;SWISS SMILE
45122492;PAUL&SHARK;;
45122493;IAIN SINCLAIR;16223217;IAIN SINCLAIR
45122494;JAMES BOND;16222733;JAMES BOND
45122495;GANCIA;;
45122497;V. WESTWOOD;;
45122498;LACROIX;;
45122499;MANTERO;;
45122500;TAMBER;;
45122501;GF FERRE;;
45122502;INVERNI;;
45122503;VERSACE COLLECTION;;
45122504;BRIDGE;16223000;BRIDGE
45122505;FASHION ANGELS;16223004;Fashion Angels
45122506;LA FONTAINE;;
45122508;Œ«≈–— »… —”¬≈Õ»–;16223137;Œ«≈–— »… —”¬≈Õ»–
45122509;»Ãœ≈–»¿À;;
45122510;Versus;16223189;VERSUS
45122511;CRAYOLA;16222655;CRAYOLA
45122512;CASIO;16223103;CASIO
45122513;SYLVANIAN FAMILIES;16223240;SYLVANIAN FAMILIES
45122514;CHUGGINGTON;16223238;CHUGGINGTON
45122515;TOMMY HILFIGER;16223066;TOMMY HILFIGER
45122516;SCUDFERRARI;16223178;SCUDFERRARI
45122517;THE ONE;16223184;THE ONE
45122518;AGATHA;16223114;AGATHA
45122519;MEVIUS;;
45122520;¡¿… ¿À;;
45122522;LES COPAINS BLUE;;
45122523;KREMLIN AWARD;;
45122524;œ”“»Õ ¿;;
45122525;ICE ICEBERG;;
45122526;∆”–¿¬À»;;
45122527;FURLA;16223058;FURLA
45122528;PERRIER JOUET;;
45122529;PAL ZILERI;;
45122531;–Œ“ ‘–ŒÕ“;16223344;–Œ“ ‘–ŒÕ“
45122533;PAL ZILERI PRINCIPE;;
45122534;TIMBERLAND;;
45122535;DSQUARED;;
45122536;“ŒÕ”—;;
45122537;¬¿À≈Õ »;;
45122538;“Œ¬¿–»Ÿ;;
45122539;«ŒÀŒ“¿ﬂ –Œ——»ﬂ;16223140;«ŒÀŒ“¿ﬂ –Œ——»ﬂ
45122540;TREFL;16223018;TREFL
45122541;KODKOD;16222980;KODKOD
45122542;MOOSE;16222978;MOOSE
45122543;GOURJI;;
45122544;TEXIMPORT;16223106;TEXIMPORT
45122545;CHOPARD;16223192;CHOPARD
45122546;ZEGNA;;
45122547;LOEWE;16223070;LOEWE
45122549;PIERRE BALMAIN ;;
45122550;JAGERMEISTER;;
45122553;BELVEDERE;;
45122554;PAL ZILERI CONCEPT;;
45122555;ALEXANDER MCQUEEN;;
45122556;CARRERA;16222654;CARRERA
45122560;÷¿–— ¿ﬂ «ŒÀŒ“¿ﬂ;;
45122561;÷¿–— ¿ﬂ Œ–»√»Õ¿À‹Õ¿ﬂ;;
45122562;ERMENEGILDO ZEGNA;;
45122563;CELLCOSMET;;
45122564;MAISON MARTIN MARGIELA;;
45122565;ARTURO FUENTE;;
45122566;TSARINE;;
45122567;ELIE SAAB;;
45122568;À≈√≈Õƒ¿  –≈ÃÀﬂ;;
45122569;X-RAY PROFUMO;16222760;X-RAY PROFUMO
45122571;LAUBADE;;
45122573;GLEN ELGIN ;;
45122576;¿ —≈——”¿– ‘”–;16223053;¿ —≈——”¿– ‘”–
45122577;Ã≈ƒ¬≈ƒ‹;;
45122578;RAMON MOLVIZAR;16222750;RAMON MOLVIZAR
45122579;MASQUE;16222744;MASQUE
45122580;—“¿–À≈…;;
45122581;PAL ZILERI LAB;;
45122582;PAL ZILERI SARTORIALE;;
45122583;LES COPAINS;;
45122584;VIVID;16222981;VIVID
45122585;MAUI TOYS;;
45122587;SINGLETON;;
45122588;TOP STYLE;;
45122596;DELSEY;16223052;DELSEY
45122597;NEMIROFF;;
45122598;BOLLINGER;;
45122599;DELAMAIN ;;
45122600; ¿”‘‘Ã¿Õ;;
45122601;Ã—- ’ŒÀƒ»Õ√;;
45122602;ECTACO;;
45122603;Ã¿——¿Õƒ–¿;;
45122604;SISI;16223434;SISI
45122606;»Ãœ≈–¿“Œ–— ¿ﬂ  ŒÀÀ≈ ÷»ﬂ;;
45122607;VAN GILS;;
45122608;MANAKAS;;
45122609;BARAKA;;
45122610;ORO VITCHENZA;;
45122611; –»—“¿ÀÀ;;
45122612;GROLSH;16223099;GROLSH
45122613;—≈¬≈–Œ-¬Œ—“Œ◊Õ¿ﬂ  ŒÃœ¿Õ»ﬂ —¬ ;16223116;—≈¬≈–Œ-¬Œ—“Œ◊Õ¿ﬂ  ŒÃœ¿Õ»ﬂ —¬ 
45122614;YVES LAMBERT;;
45122615;CHATEAU MAGENCE;;
45122619;CHATEAU RIEUSSEC;;
45122620;LA LAGUNE;;
45122621;RAUZAN-SEGLA;;
45122622;CHATEAU MOUTON ROTHSCHILD;;
45122623;PICHON COMTESSE;;
45122624;PAPE CLEMENT;;
45122625;HAUT-BAILLY;;
45122626;CHATEAU LATOUR-MARTILLAC;;
45122627;CHATEAU PAVIE;;
45122628;CHATEAU LAGRANGE;;
45122629;LEOVILLE POYFERRE;;
45122630;CREMANT DE LOIRE;;
45122631;LAGREZETTE;;
45122632;LE PIGEONNIER;;
45122633;LE PARVIS;;
45122634;SAMORENS;;
45122635;PYRENE;;
45122636;BAILLAURY;;
45122637;CHATEAU TOUR DU ROC;;
45122638;MARQUIS DU LUS;;
45122639;FRANSAC;;
45122640;CACHET NOIR;;
45122641;VIEUX;;
45122642;COEUR DE LION;;
45122643;POLAR;;
45122644;CUESTA-REY;;
45122645;CHATEAU MARGAUX;;
45122646;MARGAUX;;
45122647;PHILIPS;16223163;PHILIPS
45122648;MAJORETTE;16223285;MAJORETTE
45122649;PIANEGONDA;;
45122650;CHATEAU PALMER;;
45122651;MARQUES DE IRUN;;
45122652;VINA HERMINIA;;
45122653;LUIS CABALLERO;;
45122655;CLEMENTONI;16223002;CLEMENTONI
45122656;H.UPMANN;;
45122657;TRINIDAD ;;
45122658;PORTOLANO;16223063;PORTOLANO
45122659;DOVE;;
45122660;DESIGNER SHAIK;16223047;DESIGNER SHAIK
45122662;ESCENTRIC MOLECULES;16222718;ESCENTRIC MOLECULES
45122663;XENTA;;
45122664;BOLIVAR;;
45122665;LES ENFANTS;;
45122666;CHABLIS;;
45122667;CHABLIS VIEILLES VIGNES;;
45122668;PINOT NOIR;;
45122669;NUITS-SAINT-GEORGES;;
45122670;POMMARD;;
45122671;AUTOTIME;;
45122672;GAMZE;;
45122673;ST.-REMY;;
45122674;TERRANOBLE;;
45122675;¡ŒÕ¿;16223135;¡ŒÕ¿
45122676;◊≈–ÕŒ≈ «ŒÀŒ“Œ;;
45122677;DENN;;
45122678;LEONARD;;
45122679;–”—— ¿ﬂ » –¿;;
45122680;KARL LAGERFELD;;
45122681;ENERGIZER;;
45122682;PIATNIK;16223020;PIATNIK
45122683;œŒ¡≈ƒ¿;16223136;œŒ¡≈ƒ¿
45122684;JANEKE;16223059;JANEKE
45122685;THE BEAUTIFUL MIND SERIES VOL-1;;
45122686;“≈’ÕŒœ¿– ;16223016;“≈’ÕŒœ¿– 
45122687;DALMATIN;;
45122688;ANNA CLUB PLUSH;;
45122689;TACTIC;16222979;TACTIC
45122690;÷¿–— Œ≈ —≈ÀŒ;;
45122691;FANCY;16223003;FANCY
45122692;FERRE MILANO;;
45122693;LIMONCELLO;;
45122694;¬≈ƒ¿;;
45122696;œŒ—ŒÀ‹— ¿ﬂ ;;
45122697;ARARAT;;
45122698;JOSE CUERVO;;
45122699;ICEBERG;16222730;ICEBERG
45122700;O'NEILL;;
45122701;LOGIC3;;
45122702;CHERICOLE;;
45122703;DJECO;16223301;DJECO
45122704;SIKU;;
45122705;ƒ”ƒ ¿;;
45122706;MOSKOVSKYI BRANDY;;
45122707;ƒ” ¿“ ;;
45122708;SOVETSKOE;;
45122709;TECHNOMARINE;16223185;TECHNOMARINE
45122710;MOSKOVSKAYA;;
45122711;ƒ¬Œ…Õ¿ﬂ «ŒÀŒ“¿ﬂ ;;
45122712;TRIDENT;;
45122713;CHATEAU CHEVAL BLANC;;
45122714;¡≈À€…  Àﬁ◊ ;;
45122715;DIE-CAST METAL&PLASTIC;;
45122716;CEPIA;;
45122717;LAVA;;
45122718;JULIETTE HAS A GUN;16223211;JULIETTE HAS A GUN
45122719;AURORA;16223026;AURORA
45122720;WELLY;16222995;WELLY
45122721;DISNEY;16223256;DISNEY
45122723;HELLO KITTY;16222726;HELLO KITTY
45122724;BAKUGAN;16223279;BAKUGAN
45122725;ZOOBLES;16223276;ZOOBLES
45122726; –”∆ ¿ » ¡Œ◊ ¿;;
45122727;REMINGTON;;
