Code	NAME	match	measure value	GLOSSARY_ID_DF	SWS_DF
B01000            	GITANES                  	LOCCITANE	0,6	45125496	LOCCITANE                
B01485            	GIULIETTA CAPULETI       	GIULIETTA CAPULETI	1		GIULIETTA CAPULETI       
GIVENCHY          	Givenchy                 	GIVENCHY	1	45122180	GIVENCHY                 
GLAMOUR           	Glamour                  	GLAMOUR	1	45122399	GLAMOUR                  
GLAVSPIRT         	GLAVSPIRT                	GLAVSPIRT	1	45123513	GLAVSPIRT                
B01509            	GLEN DEVERON             	GLEN DEVEROM	0,9	45125891	GLEN DEVEROM             
GLEN WLGIN        	Glen Elgin               	GLEN ELGIN	1	45122573	GLEN ELGIN               
GLEN ORD          	Glen Ord                 	GLEN ELGIN	0,5	45122573	GLEN ELGIN               
GLENF             	Glenfiddich              	GLENFIDDICH	1	45122165	GLENFIDDICH              
GLENGOYNE         	Glengoyne                	GLENGOYNE	1	45122832	GLENGOYNE                
GLENKINCHI        	Glenkinchi               	GLENKINCHI	1	45124386	GLENKINCHI               
GLENLIVET         	Glenlivet                	GLENLIVET	1	45122166	GLENLIVET                
GLENMORANGIE      	Glenmorangie             	GLENMORANGIE	1	45122373	GLENMORANGIE             
GLENROTHES        	Glenrothes               	GLENROTHES	1	45122405	GLENROTHES               
GO_INT            	Go International         	TERRONIO	0,4	45122844	TERRONIO                 
GODIVA            	Godiva                   	GODIVA	1	45122348	GODIVA                   
B01002            	GOEBEL                   	GOEBEL	1	45122375	GOEBEL                   
B01003            	GOKANKOBO                	DANZKA	0,3	45122738	DANZKA                   
GOLDBERGER        	Golberger                	SEEBERGER	0,6		SEEBERGER                
B01004            	GOLD SILK                	GOLD SILK	1	45124860	GOLD SILK                
GOLDKENN          	Goldkenn                 	ORO GOLD	0,5	45125286	ORO GOLD                 
GOLDLOK           	Goldlok                  	ORO GOLD	0,5	45125286	ORO GOLD                 
GONHER            	Gonhcler                 	TOBLERON	0,4	45125585	TOBLERON                 
GORDONS           	Gordons                  	GORDONS	1	45122149	GORDONS                  
B01005            	GOURJI                   	GOURJI	1	45122543	GOURJI                   
GRAFIX            	Grafix                   	GRANTS	0,4	45123206	GRANTS                   
GRAGGANMORE       	Gragganmore              	GRAGGANMORE	1	45126110	GRAGGANMORE              
GRAN_MARNIER      	Grand Marnier            	GRAND MARNIER	1	45122732	GRAND MARNIER            
GRANTS            	Grants                   	GRANTS	1	45123206	GRANTS                   
GRAPPA            	Grappa                   	FRAPIN	0,4	45122239	FRAPIN                   
G_GOOSE           	Grey Goose               	GREY GOOSE	1	45122339	GREY GOOSE               
B01006            	GRIFF                    	GRIFF	1	45122751	GRIFF                    
GRIFFINS          	GRIFFINS                 	GRIFFIN'S	0,8	45122300	GRIFFIN'S                
B01008            	GROLSH                   	GROLSH	1	45122612	GROLSH                   
B01009            	GU YUE LONG SHAN         	GU YUE LONG SHAN	1	45122867	GU YUE LONG SHAN         
GUCCI             	GUCCI                    	GUCCI	1	45122250	GUCCI                    
GUCCI KIDS        	GUCCI KIDS               	GUCCI	0,7	45122250	GUCCI                    
GUENTHER          	Guenther                 	TAG HEUER	0,5	45122310	TAG HEUER                
GUERLAIN          	Guerlain                 	GUERLAIN	1	45122183	GUERLAIN                 
GUESS             	GUESS                    	GUESS	1	45122343	GUESS                    
GUINNESS          	Guinness                 	HENNESSY	0,6	45122222	HENNESSY                 
B01010            	GUMMY CANDY              	GUMMY CANDY	1	45122883	GUMMY CANDY              
B01011            	GUY LAROCHE              	F_ROCHER	0,5	45125221	F_ROCHER                 
GUYLIAN           	Guylian                  	GUYLIAN	1	45122199	GUYLIAN                  
GZHEL             	GZHEL                    	GZHEL	1	45123419	GZHEL                    
H.UPMANN          	H.Upmann                 	H.UPMANN	1	45122656	H.UPMANN                 
HAIG              	Haig                     	HAIG	1	45124230	HAIG                     
HAMA              	Hama                     	HAMA	1	45123393	HAMA                     
HAMILTON          	Hamilton                 	HAMILTON	1	45126265	HAMILTON                 
H_S               	Hammer & Sohne           	HAMMER&SOHNE	0,9	45122407	HAMMER&SOHNE             
HANDGUM           	Hand Gum                 	HANDGUM	0,9	45125578	HANDGUM                  
HANSE             	HANSE                    	Chanel	0,4	45122157	Chanel                   
HAPPY PLUGS       	Happy Plugs              	HAPPY PLUGS	1	45124655	HAPPY PLUGS              
B01012            	HAPPY WELL               	HAPPY WELL	1	45122876	HAPPY WELL               
HARIBO            	Haribo                   	HARDY	0,4	45125162	HARDY                    
HARV_CREAM        	Harveys Cream            	EARNSHAW	0,4	45124879	EARNSHAW                 
HASBRO            	Hasbro                   	HASBRO	1	45122359	HASBRO                   
HAUSBRANDT        	Hausbrandt               	NO BRAND	0,6	45123531	NO BRAND                 
B01017            	HAUT-BAILLY              	HAUT-BAILLY	1	45122625	HAUT-BAILLY              
B01018            	HAUTS DE SAINT-ESTEPHE   	HAUTS DE SAINT-ESTEPHE	1	45122787	HAUTS DE SAINT-ESTEPHE   
HAVAIANAS         	Havaianas                	HAVANA CLUB	0,6	45122308	HAVANA CLUB              
HAV               	Havainas                 	HAVANA CLUB	0,5	45122308	HAVANA CLUB              
HAVANA            	Havana Club              	HAVANA CLUB	1	45122308	HAVANA CLUB              
HEINEKEN          	Heineken                 	HEINEKEN	1	45124848	HEINEKEN                 
HIENEKEN          	Heineken                 	HEINEKEN	1	45124848	HEINEKEN                 
HELENA RUBINSTEIN 	HELENA RUBINSTEIN        	HELENA RUBINSTEIN	1	45122288	HELENA RUBINSTEIN        
