Code	NAME	match	measure value	GLOSSARY_ID_DF	SWS_DF
BANDAI            	Bandai                   	PIANEGONDA	0,4	45122649	PIANEGONDA               
B00849            	BANG&OLUFSEN             	BANG&OLUFSEN	1	45122276	BANG&OLUFSEN             
BAR PRODUCT       	Bar Product              	BAR PRODUCT	1		BAR PRODUCT              
BARAKA            	Baraka                   	BARAKA	1	45122609	BARAKA                   
BARBARA           	Barbara                  	ARARAT	0,5	45122697	ARARAT                   
BARON             	Baron                    	CARON	0,8	45122448	CARON                    
BARTLY            	Bartly                   	BALLY	0,4	45122447	BALLY                    
BASSETTS          	Bassets                  	PASSOA	0,4	45126117	PASSOA                   
B00850            	BAUME&MERCIER            	BAUME&MERCIER	1	45122316	BAUME&MERCIER            
BBURAGO           	Bburago                  	BBURAGO	1	45122469	BBURAGO                  
DR_DRE            	Beats by Dr.Dre          	BEEFEATER	0,3	45122152	BEEFEATER                
BEAU RIVAGE       	Beau Rivage              	BEAU RIVAGE	1	45122282	BEAU RIVAGE              
BEAUTIFUL MIND    	Beautiful Mind           	THE BEAUTIFUL MIND SERIES VOL-1	0,7	45122685	THE BEAUTIFUL MIND SERIES
BEBELINO          	Bebelino                 	BEBELINO	1	45122474	BEBELINO                 
B00064            	Bebelino                 	BEBELINO	1	45122474	BEBELINO                 
BECCA             	BECCA                    	MECCANO	0,6	45126365	MECCANO                  
BECHEROVKA        	Becherovka               	BECHEROVKA	1	45122812	BECHEROVKA               
B00852            	BEEFEATER                	BEEFEATER	1	45122152	BEEFEATER                
BEEFEATER         	Beefeater                	BEEFEATER	1	45122152	BEEFEATER                
B00853            	BELLA SARA               	BELLA SARA	1	45122802	BELLA SARA               
BELLEGARDER       	Bellegarde               	ARDBEG	0,6	45122374	ARDBEG                   
BELLS             	Bells                    	BELLS	1	45123166	BELLS                    
BELUGA            	Beluga                   	BELUGA	1	45122371	BELUGA                   
BELVEDERE         	Belvedere                	BELVEDERE	1	45122553	BELVEDERE                
B_KLUCH           	Belyi Kluch              	BELUGA	0,5	45122371	BELUGA                   
B00854            	BEN 10                   	BEN 10	1	45122792	BEN 10                   
BEN_HED           	Ben Hedges               	HENNESSY	0,4	45122222	HENNESSY                 
BENBAT            	BenBat                   	BENBAT	1	45122483	BENBAT                   
BERNEROY          	Berneroy                 	BERNEROY	1	45122346	BERNEROY                 
BEST TOYS         	Best Toys                	TOYSTATE	0,6	45125210	TOYSTATE                 
B00856            	BEVERLY HILLS            	FILLY	0,4	45123662	FILLY                    
B01445            	Bino Tiani               	BINO TIANI	1		BINO TIANI               
BIOTHERM          	Biotherm                 	Biotherm	1	45123077	Biotherm                 
B00857            	BISQUIT                  	BISQUIT	1	45122488	BISQUIT                  
BLACK BARRELL     	Black Barrell            	BLACK VELVET	0,5	45122733	BLACK VELVET             
VELVET            	Black Velvet             	BLACK VELVET	1	45122733	BLACK VELVET             
BLAVOD            	Blavod                   	BLAVOD	1	45122307	BLAVOD                   
BLISS             	Bliss                    	CHABLIS	0,6	45122666	CHABLIS                  
BLUHMOD           	BLUHMOD                  	BLAVOD	0,4	45122307	BLAVOD                   
BLUMARINE         	Blumarine                	BLUMARINE	1	45122428	BLUMARINE                
BOADICEA          	Boadicea                 	ROADS	0,4	45125190	ROADS                    
B00858            	BOBBI BROWN              	BOBBI BROWN	1		BOBBI BROWN              
BODY SHOP         	BODY SHOP                	BODY SHOP	1	45123427	BODY SHOP                
B01448            	BOGATIRY                 	BOGATIRY	1	45123016	BOGATIRY                 
B00859            	BOIS DU RICHE            	BOIS DU RICHE	1	45122784	BOIS DU RICHE            
B00860            	BOLGHERI                 	CHERICOLE	0,5	45122702	CHERICOLE                
BOLS              	Bols                     	BOLS	1	45122742	BOLS                     
BOMB_SAPH         	Bombay Saphire           	BOMBAY SAPPHIRE	1	45122264	BOMBAY SAPPHIRE          
B00864            	BOMBAY SAPPHIRE          	BOMBAY SAPPHIRE	1	45122264	BOMBAY SAPPHIRE          
BON AQUA          	Bon Aqua                 	BON AQUA	1	45123502	BON AQUA                 
BONCOURT          	BONCOURT                 	BONCOURT	1	45125431	BONCOURT                 
BONDIBON          	Bondibon                 	BONDIBON	1	45126304	BONDIBON                 
BORDER            	Border Biscuits          	BISQUIT	0,4	45122488	BISQUIT                  
BOSCO ACTIVE      	BOSCO Active             	ALCOM ACTIVE	0,7	45122845	ALCOM ACTIVE             
BOSCO ORIGINAL    	BOSCO Original           	LAMBORGINI	0,4		LAMBORGINI               
BOSS              	BOSS                     	BOSS	1	45125438	BOSS                     
BOSS_HUGO         	BOSS_HUGO                	BOSS_HUGO	1	45124918	BOSS_HUGO                
B01487            	BOTTEGA VENETA           	BOTTEGA VENETA	1	45125244	BOTTEGA VENETA           
B00866            	BOUCHERON                	F_ROCHER	0,5	45125221	F_ROCHER                 
BOUNTY            	Bounty                   	BOUNTY	1	45122391	BOUNTY                   
B01412            	Bourjois                 	BOURJOIS	1		BOURJOIS                 
BOWMORE           	Bowmore Scotch           	TOSCOW	0,4	45124861	TOSCOW                   
BRACCIALINI       	BRACCIALINI              	BRACCIALINI	1	45122461	BRACCIALINI              
BRATZ             	Bratz                    	BRATZ	1	45122743	BRATZ                    
B00868            	BRAUN                    	BRAUN	1	45122894	BRAUN                    
BREITLING         	Breitling                	KIPLING	0,4	45122315	KIPLING                  
B00869            	BREO                     	BREO	1	45124886	BREO                     
BRIC'S            	Bric's                   	BRIC'S	1		BRIC'S                   
BRIDGE            	Bridge                   	BRIDGE	1	45122504	BRIDGE                   
BRIGHT STARTS     	BRIGHT STARTS            	BRIGHT STARTS	1	45122911	BRIGHT STARTS            
B00870            	BRIO                     	BRIO	1	45122809	BRIO                     
BROSWAY           	Brosway                  	BROSWAY	1	45124865	BROSWAY                  
BRUICHLADDICH     	BRUICHLADDICH            	BRUICHLADDICH	1	45123503	BRUICHLADDICH            
B00872            	BUDWEISER                	SENNHEISER	0,5	45122332	SENNHEISER               
BUGATTI           	Bugatti                  	BOGATIRY	0,5	45123016	BOGATIRY                 
BURBERRY          	Burberry                 	BURBERRY	1	45123428	BURBERRY                 
BURN              	Burn                     	BURN	1	45123504	BURN                     
BUSHMILLS         	Bushmills                	BUSHMILLS	1	45123352	BUSHMILLS                
BUZZ BEE TOYS     	Buzz Bee Toys            	BUZZ BEE TOYS	1	45124117	BUZZ BEE TOYS            
B00873            	BUZZBEE                  	BUZZ BEE TOYS	0,7	45124117	BUZZ BEE TOYS            
BVLGARI           	Bvlgari                  	BVLGARI	1	45123317	BVLGARI                  
BYREDO            	Byredo                   	BYREDO	1	45123749	BYREDO                   
CABERNE           	Caberne                  	BERNEROY	0,6	45122346	BERNEROY                 
CABERNET          	Cabernet                 	BERNEROY	0,6	45122346	BERNEROY                 
B00874            	CACHAREL                 	CACHAREL	1	45122224	CACHAREL                 
CACHAREL          	CACHAREL                 	CACHAREL	1	45122224	CACHAREL                 
B00875            	CACHET NOIR              	CACHET NOIR	1	45122640	CACHET NOIR              
CADBURY           	Cadbury                  	BURBERRY	0,5	45123428	BURBERRY                 
CAFFEE TASSE      	Caffee Tasse             	PICASSO	0,4	45122228	PICASSO                  
CAILLER           	Cailler                  	BAILEYS	0,5	45122187	BAILEYS                  
B01447            	California wine          	CALIFORNIA WINE	1	45123505	CALIFORNIA WINE          
B00878            	CALVET                   	CALVET	1	45122776	CALVET                   
CK                	Calvin Klein             	CALVIN KLEIN - COTY	0,9	45122344	CALVIN KLEIN - COTY      
CALVIN KLEIN - COT	Calvin Klein - COTY      	CALVIN KLEIN - COTY	1	45122344	CALVIN KLEIN - COTY      
B00879            	CAMEL                    	CAMEL	1	45122295	CAMEL                    
CAMEL             	Camel                    	CAMEL	1	45122295	CAMEL                    
CAMPARI           	Campari                  	CAMPARI	1	45122191	CAMPARI                  
B00880            	CAMPO VIEJO              	CAMPO VIEJO	1	45122248	CAMPO VIEJO              
CAMUS             	Camus                    	CAMUS	1	45122171	CAMUS                    
B01456            	Canadian                 	CANADIAN	1	45123562	CANADIAN                 
B00881            	CANON                    	CANON	1	45124028	CANON                    
CAOL ILA          	Caol Ila                 	CAOL ILA	1	45122392	CAOL ILA                 
C_MORGAN          	Captain Morgan           	CAPTAIN MORGAN	1	45122151	CAPTAIN MORGAN           
B01501            	CARAN D'ACHE             	CARAN D'ARCHE	0,8	45123614	CARAN D'ARCHE            
CARAN D'ACHE      	Caran D'ache             	CARAN D'ARCHE	0,8	45123614	CARAN D'ARCHE            
CARDHU            	CARDHU                   	CARDHU	1	45124390	CARDHU                   
CARLA FRACCI      	Carla Fracci             	DRACCO	0,4	45124284	DRACCO                   
CARMENER          	Carmener                 	HERMES	0,5	45122221	HERMES                   
B01442            	Carner Barcelona         	Carner Barcelona	1		Carner Barcelona         
B00882            	CAROLE PLUS              	CAROLEE	0,7	45124868	CAROLEE                  
CAROLEE           	Carolee                  	CAROLEE	1	45124868	CAROLEE                  
C_HERRERA         	CAROLINA HERRERA         	CARRERA	0,6	45122556	CARRERA                  
CAROLINA HERRERA  	Carolina Herrera         	CARRERA	0,6	45122556	CARRERA                  
CAROLINS          	Carolins                 	CAROLEE	0,6	45124868	CAROLEE                  
CARON             	Caron                    	CARON	1	45122448	CARON                    
CARRERA           	CARRERA                  	CARRERA	1	45122556	CARRERA                  
CARRERA KIDS      	Carrera Kids             	CARRERA KIDS	1	45124588	CARRERA KIDS             
B00884            	CARRERA Y CARRERA        	CARRERA Y CARRERA	1	45122254	CARRERA Y CARRERA        
B00885            	CARRUADES DE LAFITE      	CHATEAU LA BOUADE	0,4	45122313	CHATEAU LA BOUADE        
CARTIER           	Cartier                  	CARTIER	1	45122263	CARTIER                  
B00886            	CASA DE LA VINA          	LAS CAMPANAS	0,5	45122293	LAS CAMPANAS             
B00887            	CASIO                    	CASIO	1	45122512	CASIO                    
CASSIDY BROTHERS  	Cassidy Brothers         	VASHERON	0,4		VASHERON                 
B00888            	CASTILIO DE JAVIER       	CARTIER	0,4	45122263	CARTIER                  
B00889            	CASTILLO DE OLITE        	FABER CASTELL	0,5		FABER CASTELL            
CAVALLI           	CAVALLI                  	CAVALLI_J	0,9	45124491	CAVALLI_J                
CAVALLI_J         	CAVALLI_JUST             	JUST CAVALLI	0,9	45126221	JUST CAVALLI             
CAVALLI_R         	CAVALLI_ROBERTO          	CAVALLI_R	0,7	45124493	CAVALLI_R                
CD                	CD                       	CD	1	45123846	CD                       
B01436            	CDI                      	CDI	1	45125004	CDI                      
CDLM              	CDLM                     	CDLM	1	45125589	CDLM                     
B01417            	CEDC                     	UNITEDCONF	0,3	45124025	UNITEDCONF               
CELINE            	CELINE                   	CELLULARLINE	0,6	45122856	CELLULARLINE             
B00890            	CELLCOSMET               	CELLCOSMET	1	45122563	CELLCOSMET               
B00891            	CELLCOSMET&CELLMEN       	CELLCOSMET&CELLMEN	1	45122803	CELLCOSMET&CELLMEN       
CELLCOSMET        	CELLCOSMET&CELLMEN       	CELLCOSMET&CELLMEN	1	45122803	CELLCOSMET&CELLMEN       
B00892            	CELLMEN                  	CELLMEN	1	45122804	CELLMEN                  
CELLULARLINE      	Cellularline             	CELLULARLINE	1	45122856	CELLULARLINE             
B00893            	CENTAUR                  	XENTA	0,6	45122663	XENTA                    
B00894            	CEPIA                    	CEPIA	1	45122716	CEPIA                    
B00895            	CERRUTI                  	CERRUTI	1	45122895	CERRUTI                  
B00896            	CHABLIS                  	CHABLIS	1	45122666	CHABLIS                  
B00897            	CHABLIS VIEILLES VIGNES  	CHABLIS VIEILLES VIGNES	1	45122667	CHABLIS VIEILLES VIGNES  
CHABOT            	Chabot                   	CHABLIS	0,5	45122666	CHABLIS                  
CHANEL            	CHANEL                   	Chanel	1	45122157	Chanel                   
B00898            	CHANEL                   	Chanel	1	45122157	Chanel                   
CHAP MEI          	Chap Mei                 	KEIKO MECHERI	0,4	45125128	KEIKO MECHERI            
CHAPELLE          	Chapelle                 	CHAPELLE DE LA TRINITE	0,6	45122403	CHAPELLE DE LA TRINITE   
CHARDONE          	Chardone                 	HARDY	0,5	45125162	HARDY                    
CHARDONNAY        	Chardonnay               	DONNA KARAN	0,6	45122438	DONNA KARAN              
CHATEAU           	Chateau                  	CHATEAU PAVIE	0,8	45122627	CHATEAU PAVIE            
CHATEAU BARET     	Chateau Baret            	CHATEAU MARGAUX	0,6	45122645	CHATEAU MARGAUX          
CHATEAU BATAILLEY 	Chateau Batailley        	CHATEAU BATAILLEY	1	45122246	CHATEAU BATAILLEY        
CHATEAU BEAU      	Chateau Beau             	CHATEAU BEAU-SITE	0,8	45122247	CHATEAU BEAU-SITE        
CHATEAU BEL AIR   	Chateau Bel Air          	CHATEAU BEL AIR	1	45126157	CHATEAU BEL AIR          
B00900            	CHATEAU BELLEVUE DE GALVE	CHATEAU BELLEVUE DE GALVESSE	1	45122790	CHATEAU BELLEVUE DE GALVE
CHATEAU BERGAT    	Chateau Bergat           	CHATEAU BERGAT	1	45126158	CHATEAU BERGAT           
B00901            	CHATEAU BOIS JOLY        	CHATEAU BOIS PERTUIS	0,7	45122777	CHATEAU BOIS PERTUIS     
B00902            	CHATEAU BOIS PERTUIS     	CHATEAU BOIS PERTUIS	1	45122777	CHATEAU BOIS PERTUIS     
B00903            	CHATEAU CAP L`OUSTEAU    	CHATEAU CAP L`OUSTEAU	1	45122782	CHATEAU CAP L`OUSTEAU    
CHATEAU CAPET     	Chateau Capet            	CHATEAU CAPET GUILLIER	0,7	45122314	CHATEAU CAPET GUILLIER   
B00905            	CHATEAU CHEVAL BLANC     	CHATEAU CHEVAL BLANC	1	45122713	CHATEAU CHEVAL BLANC     
B00906            	CHATEAU CLAIR MOULIN     	CHATEAU CLAIR MOULIN	1	45122783	CHATEAU CLAIR MOULIN     
B00907            	CHATEAU DE MARGAUX       	CHATEAU DE MARGAUX	1	45122736	CHATEAU DE MARGAUX       
B00908            	CHATEAU DES BELLES GRAVES	CHATEAU BELLEVUE DE GALVESSE	0,7	45122790	CHATEAU BELLEVUE DE GALVE
B00909            	CHATEAU DU BOIS CHANTANT 	CHATEAU DU BOIS CHANTANT	1	45122780	CHATEAU DU BOIS CHANTANT 
CHATEAU DU DOMAINE	Chateau Du Domaine       	CHATEAU DU DOMAINE	1	45126159	CHATEAU DU DOMAINE       
CHATEAU HAUT      	Chateau Haut             	CHATEAU HAUT-MADRAC	0,7	45122289	CHATEAU HAUT-MADRAC      
B00910            	CHATEAU HAUT VINOGLE SEGU	CHATEAU HAUT VINOGLE SEGUIN	1	45122737	CHATEAU HAUT VINOGLE SEGU
B00912            	CHATEAU HAUT-MOULEYRE    	CHATEAU HAUT-MOULEYRE	1	45122839	CHATEAU HAUT-MOULEYRE    
CHATEAU LA BOUADE 	Chateau La Bouade        	CHATEAU LA BOUADE	1	45122313	CHATEAU LA BOUADE        
B00913            	CHATEAU LAGRANGE         	CHATEAU LAGRANGE	1	45122628	CHATEAU LAGRANGE         
CHATEAU LAMOTHE   	Chateau Lamothe          	CHATEAU LAMOTHE GUIGNARD	0,8	45122327	CHATEAU LAMOTHE GUIGNARD 
B00914            	CHATEAU LAMOTHE GUIGNARD 	CHATEAU LAMOTHE GUIGNARD	1	45122327	CHATEAU LAMOTHE GUIGNARD 
B00915            	CHATEAU LATOUR-MARTILLAC 	CHATEAU LATOUR-MARTILLAC	1	45122626	CHATEAU LATOUR-MARTILLAC 
B00916            	CHATEAU LE BARRAIL       	CHATEAU BATAILLEY	0,7	45122246	CHATEAU BATAILLEY        
B00917            	CHATEAU LESTAGE SIMON    	CHATEAU LESTAGE SIMON	1	45122838	CHATEAU LESTAGE SIMON    
CHATEAU LYNCH     	Chateau Lynch            	CHATEAU LYNCH	1	45126160	CHATEAU LYNCH            
B00919            	CHATEAU MAGENCE          	CHATEAU MAGENCE	1	45122615	CHATEAU MAGENCE          
B00920            	CHATEAU MARGAUX          	CHATEAU MARGAUX	1	45122645	CHATEAU MARGAUX          
B00922            	CHATEAU MOUTON ROTHSCHILD	CHATEAU MOUTON ROTHSCHILD	1	45122622	CHATEAU MOUTON ROTHSCHILD
B00923            	CHATEAU PALMER           	CHATEAU PALMER	1	45122650	CHATEAU PALMER           
B00924            	CHATEAU PAVIE            	CHATEAU PAVIE	1	45122627	CHATEAU PAVIE            
B00925            	CHATEAU PONTET NIVELLE   	CHATEAU PONTET NIVELLE	1	45122779	CHATEAU PONTET NIVELLE   
B00926            	CHATEAU PONTET-CHAPPAZ   	CHATEAU PONTET-CHAPPAZ	1	45122789	CHATEAU PONTET-CHAPPAZ   
B00927            	CHATEAU RELAIS DU CHEVAL 	CHATEAU RELAIS DU CHEVAL BLANC	1	45122778	CHATEAU RELAIS DU CHEVAL 
B00928            	CHATEAU RIEUSSEC         	CHATEAU RIEUSSEC	1	45122619	CHATEAU RIEUSSEC         
B00930            	CHATEAU TOUR DE PERRIGAL 	CHATEAU TOUR DE PERRIGAL	1	45122781	CHATEAU TOUR DE PERRIGAL 
B00931            	CHATEAU TOUR DU ROC      	CHATEAU TOUR DU ROC	1	45122637	CHATEAU TOUR DU ROC      
CHATEAU TROTTE    	Chateau Trotte           	CHATEAU TROTTE VIEILLE	0,8	45122290	CHATEAU TROTTE VIEILLE   
CHATELLE          	Chatelle Napoleon        	CHATELLE NAPOLEON	1	45122387	CHATELLE NAPOLEON        
B00933            	CHERICOLE                	CHERICOLE	1	45122702	CHERICOLE                
B00934            	CHEVALIERS DE L`ORDRE    	CHEVALIERS DE L`ORDRE	1	45122786	CHEVALIERS DE L`ORDRE    
CHIANTI           	Chianti                  	SANTIAGO DE CUBA	0,5	45122745	SANTIAGO DE CUBA         
CHIVAS            	CHIVAS                   	CHIVAS	1	45122168	CHIVAS                   
CHLOE             	Chloe                    	CHLOE	1	45122383	CHLOE                    
CHOPARD           	CHOPARD                  	CHOPARD	1	45122545	CHOPARD                  
B00935            	CHRISTIAN DIOR           	CLIVE CHRISTIAN	0,7	45124182	CLIVE CHRISTIAN          
B00936            	CHRISTIAN LACROIX        	CLIVE CHRISTIAN	0,6	45124182	CLIVE CHRISTIAN          
CHRONOSWISS       	CHRONOSWISS              	CHRONOSWISS	1	45126267	CHRONOSWISS              
C_SWISS           	Chronoswiss              	CHRONOSWISS	1	45126267	CHRONOSWISS              
CHRONOTECH        	Chronotech               	CHRONOSWISS	0,5	45126267	CHRONOSWISS              
CHUGGINGTON       	Chuggington              	CHUGGINGTON	1	45122514	CHUGGINGTON              
CHURCHILLS        	Churchills               	CHURCHILLS	1	45122739	CHURCHILLS               
B00937            	CHURCHILL'S              	CHURCHILLS	0,8	45122739	CHURCHILLS               
CINZANO           	Cinzano                  	CINZANO	1	45122331	CINZANO                  
B00938            	CIRCUS FASHION           	FASHION ANGELS	0,5	45122505	FASHION ANGELS           
B00939            	CIROC                    	CIROC	1	45122357	CIROC                    
CITIZEN           	Citizen                  	ZENITH	0,5	45122301	ZENITH                   
CITY TOYS         	City Toys                	XQ TOYS	0,6	45122740	XQ TOYS                  
CELEBRAT          	Cla merelebrations       	CELEBRATIONS	0,8	45122401	CELEBRATIONS             
C_CAMBELL         	Clan Cambell             	MACALLAN	0,5	45123875	MACALLAN                 
CLARA BIJOUX      	Clara Bijoux             	ESTER BIJOUX	0,6	45124858	ESTER BIJOUX             
CLARINS           	Clarins                  	CLARINS	1	45122252	CLARINS                  
CLARISONIC        	Clarisonic               	CLARISONIC	1	45123898	CLARISONIC               
B00940            	CLAUSTHALER              	PAL ZILERI LAB	0,4	45122581	PAL ZILERI LAB           
CLEMENT           	Clement                  	CLEMENT	1	45125416	CLEMENT                  
B00941            	CLEMENTONI               	CLEMENTONI	1	45122655	CLEMENTONI               
CLEMENTONI        	Clementoni               	CLEMENTONI	1	45122655	CLEMENTONI               
CLINIQUE          	Clinique                 	CLINIQUE	1	45122266	CLINIQUE                 
B01465            	CLIVE CHRISTIAN          	CLIVE CHRISTIAN	1	45124182	CLIVE CHRISTIAN          
B00942            	CLOS VOUGEOT             	CLOUDZ	0,4	45123154	CLOUDZ                   
CLOUDZ            	Cloudz Travel Accessories	CLOUDZ	0,4	45123154	CLOUDZ                   
C_PARTEGAS        	Club-Partegas            	PARTAGAS	0,5	45122238	PARTAGAS                 
CLYNELISH         	Clynelish                	WELLY	0,3	45122720	WELLY                    
COCA COLA         	Coca Cola                	COCA COLA	1	45122227	COCA COLA                
COCCINELLE        	Coccinelle               	COCCINELLE	1	45124332	COCCINELLE               
B00943            	COCOROSE                 	COCOROSE	1	45122887	COCOROSE                 
CODELLO           	Codello                  	CODELLO	1	45123991	CODELLO                  
COEUR DE LION     	Coeur de Lion            	COEUR DE LION	1	45122642	COEUR DE LION            
B00944            	COG                      	COG	1	45122843	COG                      
COHIBA            	Cohiba                   	COHIBA	1	45122236	COHIBA                   
COINTREAU         	Cointreau                	COINTREAU	1	45122197	COINTREAU                
COMBINACIONES     	Combinaciones            	COMBINACIONES	1	45123873	COMBINACIONES            
CONCORD           	Concord                  	GORDONS	0,5	45122149	GORDONS                  
CONDE             	Conde                    	Kondi	0,5		Kondi                    
COOLEY DISTILLERY 	COOLEY DISTILLERY        	VERSACE COLLECTION	0,4	45122503	VERSACE COLLECTION       
CORONAS           	Coronas                  	ARCOROS	0,5	45123322	ARCOROS                  
CORUM             	Corum                    	ARCOROS	0,4	45123322	ARCOROS                  
B00945            	COTE D'OR                	COTE D'OR	1	45122382	COTE D'OR                
COURVOISIER       	Courvoisier              	COURVOISIER	1	45123564	COURVOISIER              
CRAB MEAT         	Crab meat                	CRAB MEAT	1	45124027	CRAB MEAT                
CRASHLINGS        	Crashlings               	CRASHLINGS	1	45124347	CRASHLINGS               
CRAYOLA           	Crayola                  	CRAYOLA	1	45122511	CRAYOLA                  
CREED             	Creed                    	BYREDO	0,4	45123749	BYREDO                   
CREMA GIANDULA BOT	Crema Guandulla Bottega  	BOTTEGA	0,5	45125158	BOTTEGA                  
B00947            	CREMANT DE LOIRE         	CREMANT DE LOIRE	1	45122630	CREMANT DE LOIRE         
B00948            	CROIX DE PEZ             	LACROIX	0,6	45122498	LACROIX                  
CUARZO            	Cuarzo                   	CUABA	0,4	45122728	CUABA                    
CUBICFUN          	Cubic Fun                	CUBICFUN	0,9	45124087	CUBICFUN                 
CUERVO Y SOBRINOS 	Cuervo y Sobrinos        	CUERVO Y SOBRINOS	1	45126268	CUERVO Y SOBRINOS        
C_REY             	Cuesta Rey               	CUESTA-REY	0,9	45122644	CUESTA-REY               
B00950            	CUESTA-REY               	CUESTA-REY	1	45122644	CUESTA-REY               
C_SARK            	Cutty Sark               	CUTTY SARK	1	45122797	CUTTY SARK               
D BY FLOYA        	D by Floya               	ROYAL SALUTE	0,3	45122218	ROYAL SALUTE             
D_G               	D&G                      	SCHCHARD&FRIESE	0,1		SCHCHARD&FRIESE          
D_ROTH            	D_ROTH                   	ROTHMANS	0,5	45122206	ROTHMANS                 
DAESUNG TOYS      	DAESUNG TOYS             	XQ TOYS	0,5	45122740	XQ TOYS                  
DAILRADE          	DAILRADE GUNTVE ÀËÚÓ‚ ÍÂ	DAILRADE	0,5	45124356	DAILRADE                 
DAIM              	Daim                     	SAIMAA	0,5	45122462	SAIMAA                   
B00951            	DALMATIN                 	DALMATIN	1	45122687	DALMATIN                 
DALMORE           	Dalmore                  	DALMORE	1	45122386	DALMORE                  
DALWHINNIE        	Dalwhinnie               	DALWHINNIE	1	45122323	DALWHINNIE               
DANOVA SOUVENIRS  	DANOVA SOUVENIRS         	DANOVA SOUVENIRS	1	45124015	DANOVA SOUVENIRS         
DANZIGER          	DANZIGER                 	DANZKA	0,5	45122738	DANZKA                   
DANSKA            	Danzka                   	DANZKA	1	45122738	DANZKA                   
DAVIDOFF          	Davidoff                 	DAVIDOFF	1	45122160	DAVIDOFF                 
B01413            	DAVIDOFF COG             	DAVIDOFF	0,9	45122160	DAVIDOFF                 
DE LUNA LUXE      	De Luna Luxe             	LUNAVIT	0,5	45124859	LUNAVIT                  
B00954            	DEFA                     	DEFA	1	45122872	DEFA                     
B00955            	DELAMAIN                 	DELAMAIN	1	45122599	DELAMAIN                 
DELSEY            	Delsey                   	DELSEY	1	45122596	DELSEY                   
DE'LUNA           	De'Luna                  	LUNAVIT	0,5	45124859	LUNAVIT                  
B00956            	DENN                     	DENN	1	45122677	DENN                     
DESIGN GO         	Design Go                	DESIGN GO	1	45122198	DESIGN GO                
B00957            	DESIGNER SHAIK           	DESIGNER SHAIK	1	45122660	DESIGNER SHAIK           
DESIGUAL          	DESIGUAL                 	DESIGUAL	1	45124202	DESIGUAL                 
DEWARS            	Dewars                   	DEWARS	1	45123874	DEWARS                   
DIAGEO            	DIAGEO                   	DIAGEO	1	45125053	DIAGEO                   
B01424            	DIAMOD                   	GODIVA	0,4	45122348	GODIVA                   
B00958            	DICKIE TOYS              	DICKIE TOYS	1	45122886	DICKIE TOYS              
B00959            	DIE-CAST METAL&PLASTIC   	DIE-CAST METAL&PLASTIC	1	45122715	DIE-CAST METAL&PLASTIC   
DIESEL            	DIESEL                   	DIESEL	1	45122381	DIESEL                   
DILAN             	Dilan                    	DILAN	1	45123145	DILAN                    
DIMPLE            	Dimple                   	THIMBLE	0,4	45123518	THIMBLE                  
DIOR              	Dior                     	DIOR	1	45123864	DIOR                     
DIOR KIDS         	Dior Kids                	DIOR	0,7	45123864	DIOR                     
DIPTYQUE          	Diptyque                 	LIPTON	0,3	45122190	LIPTON                   
DISNEY            	Disney                   	DISNEY	1	45122721	DISNEY                   
B00960            	DJECO                    	DJECO	1	45122703	DJECO                    
DOLCE_GAB         	DOLCE_GABBANA            	DOLCE_GAB	0,8	45124572	DOLCE_GAB                
DOLLS             	Dolls                    	DOLLS	1	45123165	DOLLS                    
D_PERIGNON        	Dom Perignon             	DOM PERIGNON	1	45122267	DOM PERIGNON             
DOMAINE           	Domaine                  	CHATEAU DU DOMAINE	0,6	45126159	CHATEAU DU DOMAINE       
D_SENECHAUX       	Domaine des Senechaux    	CHATEAU DU DOMAINE	0,6	45126159	CHATEAU DU DOMAINE       
DON JULIO         	Don Julio                	DON JULIO	1	45122356	DON JULIO                
DKNY              	Donna Karan New York     	DONNA KARAN	0,8	45122438	DONNA KARAN              
B00963            	DOOWELL                  	DOOWELL	1	45124876	DOOWELL                  
DOVE              	Dove                     	DOVE	1	45122659	DOVE                     
B01470            	Dracco                   	DRACCO	1	45124284	DRACCO                   
DRAGON            	Dragon                   	DRAGON	1	45123655	DRAGON                   
DRAMBUIE          	Drambuie                 	DRAMBUIE	1	45122196	DRAMBUIE                 
DROVA             	DROVA                    	DROVA	1	45122463	DROVA                    
DRUM              	Drum                     	RUSS	0,3	45122362	RUSS                     
DSQUARED          	Dsquared                 	DSQUARED	1	45122535	DSQUARED                 
DSQUARED2         	Dsquared2                	DSQUARED	0,9	45122535	DSQUARED                 
B00966            	DUBEY&SCHALDENBRAND      	DUBEY&SCHALDENBRAND	1	45122341	DUBEY&SCHALDENBRAND      
B00967            	DUBLISS                  	CHABLIS	0,5	45122666	CHABLIS                  
DUBONNET          	Dubonnet                 	Kenneth Cole	0,4		Kenneth Cole             
B01452            	DUC d`O                  	DUC d`O	1	45123196	DUC d`O                  
DUC_ DOR          	Duc D'or                 	COTE D'OR	0,5	45122382	COTE D'OR                
DUKAT             	Dukat                    	KIT_KAT	0,4	45123418	KIT_KAT                  
DUNHILL           	Dunhill                  	DUNHILL	1	45122201	DUNHILL                  
DUPONT            	DUPONT                   	DUPONT	1	45123488	DUPONT                   
DVD               	DVD                      	DVD	1	45123860	DVD                      
DYRBERG KERN      	DYRBERG KERN             	DYRBERG KERN	1	45123615	DYRBERG KERN             
B00968            	E.PUCCI                  	E.PUCCI	1	45122774	E.PUCCI                  
EARNSHAW          	Earnshaw                 	EARNSHAW	1	45124879	EARNSHAW                 
