name;swsdfusdid;swsdfid;swsdpid;Vendor No_
E10051 RATTI;10907359;10907359;0;
E11115 EUROITALIA DP;0;0;13085509;
E12345 ES.MOLECULES ESTERK;16904957;16904957;14122386;
E12468 ESTERK;25843088;25843088;16223481;
E15200 LAMARTHE ELIT BAGS;0;0;16222207;
E16100 DELSEY ELIT BAGS;0;0;16064646;
E17100 GIORGIO FEDON & FIGLI SPA;0;0;16222237;
E20002 щйяонрпеид ннн;0;0;14183052;
E22222 ебпюгхъ;0;0;16223503;
E25555 щкхр ащцг (CK);0;0;16223530;
E33961 HUGO BOSS P&G;10907254;10907254;0;
E33962 HUGO BOSS PARFUME;0;0;15644008;
E34567 ESCADA - едхмюъ ебпною;0;0;14030159;
E52529 ELIT;29062819;29062819;14345858;
E55545 RAMON MOLVIZAR EXILITY;40173724;40173724;15855616;
E55546 TORRE EXILITI;0;0;16165067;
E55547 MASQUE EXILITY;44514880;44514880;16165068;
E55548 ROSE & CO EXILITY;44514881;44514881;16165069;
E55549 SEVIGNE EXILITY;44514882;44514882;16165070;
E55550 X-RAY EXILITY;45120509;45120509;16222195;
E55551 PECCATO EXILITY;45120567;45120567;16222203;
E55552 GIULIETTA CAPULETI EXILITY;0;0;16223569;
E55553 MIMMINA FLOWER EXILITY;0;0;16223570;
E86421 EASTPAK;33678924;33678924;0;
E88898 ECTACO;10907198;10907198;0;
EN12355 ENNS;45120906;45120906;16222258;
EN44567 ELECTRONIC NOVELTIES;44153565;44153565;16171437;
ES12345 ELIE SAAB;0;0;16223564;
ES12345 ELIE SAAB BPI;28431636;28431636;0;
ES33315 щяйэч яхця;45123896;45123896;0;
F00009 M.FREY WILLE DP;0;0;14108649;
F15666 FERRAGAMO - едхмюъ Eбпною;0;0;14008193;
F33311 FREY WILLE;10907558;10907558;0;
F33312 M.FREY WILLE FASHION;11104974;11104974;0;
F3333300 FOLLI FOLLIE WATCHES;0;0;11307070;
F35291 FENDI PARFUM;24207694;24207694;15968000;
F55555 FRUITBERRY - едхмюъ ебпною;0;0;15263234;
F55556 FOSSIL;0;0;15115888;
F66321 FAZER BRANDS INTERNATIONAL;45120563;45120563;0;O_SUP002
F87654 FERAUD - едхмюъ ебпною;0;0;14425730;
F88999 FURLA;11012386;11012386;0;
FB11123 F.BOCLET INTERLUX 2;45125270;45125270;0;
FC00002 FERRARI CAVALLINO;45126060;45126060;16223877;
FE1234 FENDI SILK SA;14416973;14416973;0;
FER123 FERRERO TRADING LUX;25873704;25873704;0;O_SUP438
FO45678 FOSSIL;36154934;36154934;0;O_SUP220
FP11111 F.PARTNERS OOO;34335099;34335099;0;I_SUP239
G10002 GIVENCHY COUTURE EURO;10907502;10907502;0;
G10016 GUESS - IBB B.V.;10907503;10907503;0;O_SUP191
G10036 GODIVA;0;0;15981116;
G10036 GODIVA S.A. BELGIUM;10907559;10907559;0;O_SUP439
G10037 GUYLIAN NV/SA;10907258;10907258;0;
G11111+ GALEREYA BLAGOLEPIYA;15106113;15106113;0;
G11333 GUESS - IBB;0;0;10902937;
G20304 GUCCI - едхмюъ ебпною;0;0;14008125;
G37123 GREATWELL INVESTMENTS LTD;17129947;17129947;0;
G37123 SIINERGIA (GREATWELL INVESTMENTS LTD);17129947;17129947;0;
G54321 GOURJI (RUB);26082124;26082124;0;
G55551 GANCIA;42565904;42565904;0;
G59870 GUCCI;42828643;42828643;0;
G73611 W.GRANT & SONS;10907202;10907202;0;
G93124 GUERLAIN PARFUMS;10907504;10907504;15981117;
G93125 GUERLAIN SKY;10907396;10907396;0;
G98765 GOURJI ITALY(EURO);35051453;35051453;0;
GC0003 ннн хмбеяр цен пеяспя (GOLDEN-CANDIES);45124774;45124774;16223409;
GG12345 GOLDEN GRAIL LTD;10907203;10907203;0;
GI20000 GIVENCHY PARFUME DP;0;0;15834392;
GR00026 ннн йнлоюмхъ цпхмтхкдя;0;0;16034955;I_SUP026
GS12345 GOLDEN SPIRIT SA;39810224;39810224;0;
H10023 HENNESSY COGNAC;10907204;10907204;0;
H10053 HERMES;0;0;16223502;
H10053 HERMES PARFUMS;10907206;10907206;0;
H1234 HERMANN JOERSS;18537636;18537636;0;O_SUP510
H44525 ннн унпейю рпеидяепбхя;0;0;15904373;I_SUP300
H45812 HAMMER+SOHNE;10907564;10907564;0;
H66500 HIBWAY LTD. T/A SAFFON SUPPLY SERVICES;45124563;45124563;16223555;O_SUP665
HD98765 HANSE DISTRIBUTION GMBH;0;0;15481552;
HIBWAY LTD;45124194;45124194;16223268;
HK11111 HELLO KITTY пхьея;0;0;15357863;
I00022 хлоепхюк ннн;39846327;39846327;15862053;I_SUP160
I10011 IBB;10907364;10907364;0;
I11112 ISA SPA;10907506;10907506;0;
I13567 ICEBERG - едхмюъ ебпною;0;0;14875506;
I33333 INTEL MSK;0;0;16223195;
I44444 ICE WATCH;0;0;15103684;
I54333 F.BOCLET INTERLUX;44185425;44185425;16152907;
I54444 рй хмрек рпеид;0;0;12584095;
I55588 IAN MACLEOD DISTILLERS LTD;32456993;32456993;0;
I65432 ALYSON OLDOINI. INTERLUX;45123572;45123572;16222786;
I75666 KORLOFF INTERLUX;44185424;44185424;16152906;
I98765 SILLAGE INTERLUX;42520715;42520715;15948027;
I_SUP417 ннн лхп хцпсьей;45125754;45125754;0;
IL98765 CARON хо хкэхмю;42548796;42548796;15962875;
IL98766 HISTOIRES DE PARFUMES хо хкэхмю;44513352;44513352;16164160;
IL98767 HOUBIGANT хо хкэхмю;44513353;44513353;16164158;
IL98768 MEMO хо хкэхмю;44513354;44513354;16164156;
IL98769 PRUDENCE хо хкэхмю;44513355;44513355;16164157;
IRISHBAR DP;0;0;10971587;
ISUP156 дшлнбяйне йнкаюямне опнхгбндярбн ннн;0;0;16223847;I_SUP156
ISUP402 ннн онйпнбяйхи опъмхй;45125301;45125301;16223632;
ISUP419 хйпю.пс тсдяепбхя ннн;45125927;45125927;0;I_SUP419
ISUP431 ннн рнпцнбши днл псядек;0;0;16223893;I_SUP072
J00001 JANEKE;0;0;13672184;
J00007 JAMES BOND P&G;42793944;42793944;0;
J10142 JAGERMEISTER;43914265;43914265;0;
J11154 JUICY COUTURE - едхмюъ ебпною;0;0;15439137;
J12345 JUPITER OOO;23738398;23738398;0;
J20060 JULES DESTROOPER;10907208;10907208;15971592;
J33456 JSL SPEDITION GMBH;10923361;10923361;0;
J52222 JANEKE;24722453;24722453;0;
J78321 JAPAN TOBACCO INT CO;10907565;10907565;0;
J99998 KRAFT JAKOBS SUCHARD;0;0;15861659;
J99998 MONDELEZ WORLD TRAVEL RETAIL LLC;10907312;10907312;0;
J99999 JSL TRADING AG;0;0;15601393;O_SUP010
JB00700 JAMES BOND едхмюъ ебпною;0;0;15582039;
JF12345 JACQUES FAREL;33687151;33687151;0;
JL11115 JUDITH LEIBER ESTERK;36594517;36594517;0;
JL22222 JACQUES LEMANS;0;0;15098136;O_SUP221
JR12345 JOHN RICHMOND;0;0;14030217;
JSL SPEDITION;36919351;36919351;0;
JSL TRADING;28421445;28421445;14323944;
JV55555 JFM VICTORINOX;33274118;33274118;0;
K02000 KONDI-2000 OOO;0;0;10902948;
K10028 KENZO PARFUMS;10907313;10907313;0;
K12345 KENZO JEW SKY;10907400;10907400;0;
K127566 нюн йг нрпюдмне;0;0;15892709;I_SUP084
K20020 WHYTE & MACKAY;10907264;10907264;0;
K22233 OOO йпсрнм;0;0;16223484;
K28000 KENZO PARF DP;0;0;15768570;
K30013 KIMMI пхьщя;0;0;15233568;
K33355 KORONA OOO;23815605;23815605;0;
K34567 K KARL LAGERFELD;22573305;22573305;0;
K50050 KONSTANTINOPOLSKAYA;10907367;10907367;0;
K54321 KIEHL'S PBI;26182997;26182997;0;
K55543 K & K;0;0;16222221;
K555544 KEEL TOYS;0;0;15481433;
