GLOSSARY_ID_DF;SWS_DF;GLOSSARY_ID_DP;SWS_DP;NAV_CODE;NAV_NAME
45122784;BOIS DU RICHE                  ;;BOIS DU RICHE                  ;;BOIS DU RICHE                  
45122664;BOLIVAR                        ;;BOLIVAR                        ;;BOLIVAR                        
45122598;BOLLINGER                      ;;BOLLINGER                      ;;BOLLINGER                      
45122742;BOLS                           ;;BOLS                           ;BOLS              ;BOLS                           
45125882;BOMB_SAPH                      ;;BOMB_SAPH                      ;BOMB_SAPH         ;BOMB_SAPH                      
45122264;BOMBAY SAPPHIRE                ;;BOMBAY SAPPHIRE                ;BOMB_SAPH         ;BOMBAY SAPPHIRE                
45123502;BON AQUA                       ;16223089;BON AQUA                       ;BON AQUA          ;BON AQUA                       
45125431;BONCOURT                       ;;BONCOURT                       ;BONCOURT          ;BONCOURT                       
45126304;BONDIBON                       ;;BONDIBON                       ;BONDIBON          ;BONDIBON                       
45125438;BOSS                           ;;BOSS                           ;BOSS              ;BOSS                           
45124918;BOSS_HUGO                      ;16222699;BOSS_HUGO                      ;BOSS_HUGO         ;BOSS_HUGO                      
45125158;BOTTEGA                        ;;BOTTEGA                        ;;BOTTEGA                        
45125244;BOTTEGA VENETA                 ;16223609;BOTTEGA VENETA                 ;B01487;BOTTEGA VENETA                 
45122391;BOUNTY                         ;16223156;BOUNTY                         ;BOUNTY            ;BOUNTY                         
;BOURJOIS                       ;16223861;BOURJOIS                       ;B01412            ;BOURJOIS                       
45122461;BRACCIALINI                    ;;BRACCIALINI                    ;BRACCIALINI       ;BRACCIALINI                    
45122743;BRATZ                          ;16223290;BRATZ                          ;BRATZ             ;BRATZ                          
45122894;BRAUN                          ;;BRAUN                          ;;BRAUN                          
45124886;BREO                           ;;BREO                           ;;BREO                           
;BRIC'S                         ;16222767;BRIC'S                         ;BRIC'S            ;BRIC'S                         
45122504;BRIDGE                         ;16223000;BRIDGE                         ;BRIDGE            ;BRIDGE                         
45122911;BRIGHT STARTS                  ;16223245;BRIGHT STARTS                  ;;BRIGHT STARTS                  
45122809;BRIO                           ;;BRIO                           ;;BRIO                           
45124865;BROSWAY                        ;16223115;BROSWAY                        ;;BROSWAY                        
45123503;BRUICHLADDICH                  ;;BRUICHLADDICH                  ;BRUICHLADDICH     ;BRUICHLADDICH                  
45126256;BULLYLAND                      ;16223906;BULLYLAND                      ;;BULLYLAND                      
45123428;BURBERRY                       ;16222700;BURBERRY                       ;BURBERRY          ;BURBERRY                       
45123504;BURN                           ;;BURN                           ;BURN              ;BURN                           
45123352;BUSHMILLS                      ;;BUSHMILLS                      ;BUSHMILLS         ;BUSHMILLS                      
45124117;BUZZ BEE TOYS                  ;16222999;BUZZ BEE TOYS                  ;BUZZ BEE TOYS     ;BUZZ BEE TOYS                  
45123317;BVLGARI                        ;16222701;BVLGARI                        ;BVLGARI           ;BVLGARI                        
45123749;BYREDO                         ;16222850;BYREDO                         ;BYREDO            ;BYREDO                         
45124207;C_HERRERA                      ;16222702;C_HERRERA                      ;C_HERRERA         ;C_HERRERA                      
45122224;CACHAREL                       ;16222703;CACHAREL                       ;CACHAREL          ;CACHAREL                       
45122640;CACHET NOIR                    ;;CACHET NOIR                    ;;CACHET NOIR                    
45122859;CACIQUE MOJITO                 ;;CACIQUE MOJITO                 ;;CACIQUE MOJITO                 
45123505;CALIFORNIA WINE                ;;CALIFORNIA WINE                ;;CALIFORNIA WINE                
45122776;CALVET                         ;;CALVET                         ;B00878            ;CALVET                         
45122344;CALVIN KLEIN - COTY            ;16222709;CALVIN KLEIN - COTY            ;CALVIN KLEIN - COTY;CALVIN KLEIN - COTY            
45122295;CAMEL                          ;;CAMEL                          ;CAMEL             ;CAMEL                          
45122191;CAMPARI                        ;16223076;CAMPARI                        ;CAMPARI           ;CAMPARI                        
45122248;CAMPO VIEJO                    ;;CAMPO VIEJO                    ;B00880            ;CAMPO VIEJO                    
45122171;CAMUS                          ;;CAMUS                          ;CAMUS             ;CAMUS                          
45123562;CANADIAN                       ;;CANADIAN                       ;B01456            ;CANADIAN                       
45124028;CANON                          ;;CANON                          ;;CANON                          
45122392;CAOL ILA                       ;;CAOL ILA                       ;CAOL ILA          ;CAOL ILA                       
45122151;CAPTAIN MORGAN                 ;;CAPTAIN MORGAN                 ;C_MORGAN          ;CAPTAIN MORGAN                 
45123614;CARAN D'ARCHE                  ;;CARAN D'ARCHE                  ;CARAN D'ACHE      ;CARAN D'ARCHE                  
45124390;CARDHU                         ;;CARDHU                         ;CARDHU            ;CARDHU                         
;CARNER BARCELONA               ;16222705;CARNER BARCELONA               ;;CARNER BARCELONA               
45124868;CAROLEE                        ;16223130;CAROLEE                        ;;CAROLEE                        
45124207;CAROLINA HERRERA               ;;CAROLINA HERRERA               ;C_HERRERA         ;CAROLINA HERRERA               
45122448;CARON                          ;16222641;CARON                          ;CARON             ;CARON                          
45122556;CARRERA                        ;16222654;CARRERA                        ;CARRERA           ;CARRERA                        
45124588;CARRERA KIDS                   ;;CARRERA KIDS                   ;CARRERA KIDS      ;CARRERA KIDS                   
45122470;CARRERA RC                     ;;CARRERA RC                     ;CARRERA           ;CARRERA RC                     
45122254;CARRERA Y CARRERA              ;;CARRERA Y CARRERA              ;B00884            ;CARRERA Y CARRERA              
45122263;CARTIER                        ;;CARTIER                        ;CARTIER           ;CARTIER                        
45122512;CASIO                          ;16223103;CASIO                          ;B00887            ;CASIO                          
45126306;CAVALLI CLASS                  ;;CAVALLI CLASS                  ;;CAVALLI CLASS                  
45124491;CAVALLI_J                      ;16223160;CAVALLI_J                      ;CAVALLI_J         ;CAVALLI_J                      
45124493;CAVALLI_R                      ;16223162;CAVALLI_R                      ;CAVALLI_R         ;CAVALLI_R                      
45124024;CAVIAR                         ;;CAVIAR                         ;;CAVIAR                         
45123846;CD                             ;;CD                             ;;CD                             
45125004;CDI                            ;16223021;CDI                            ;B01436            ;CDI                            
45125589;CDLM                           ;16223744;CDLM                           ;CDLM              ;CDLM                           
45122401;CELEBRATIONS                   ;;CELEBRATIONS                   ;CELEBRAT          ;CELEBRATIONS                   
45122563;CELLCOSMET                     ;;CELLCOSMET                     ;;CELLCOSMET                     
45122803;CELLCOSMET&CELLMEN             ;;CELLCOSMET&CELLMEN             ;;CELLCOSMET&CELLMEN             
45122804;CELLMEN                        ;;CELLMEN                        ;;CELLMEN                        
